5FE1OE, G, 0, -inf, -inf, inf
M7EGKH, B, 1, inf, -inf, inf
79JY8A, G, 2, -inf, -inf, inf
4X7F6M, B, 3, inf, -inf, inf
96Y3RZ, G, 4, 12, -inf, inf
4X7F6M, B, 3, 12, -inf, 12
96Y3RZ, P, 4, 8, -inf, 12
4X7F6M, B, 3, 8, -inf, 8
96Y3RZ, R, 4, 10, -inf, 8
4X7F6M, B, 3, 8, -inf, 8
96Y3RZ, Y, 4, 4, -inf, 8
4X7F6M, B, 3, 4, -inf, 4
9708QA, G, 4, 12, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
9708QA, P, 4, 8, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
9708QA, R, 4, 10, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
9708QA, Y, 4, 4, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
APNFUQ, B, 4, 13, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
APNFUQ, P, 4, 8, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
APNFUQ, R, 4, 10, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
APNFUQ, Y, 4, 4, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
FMCQUW, G, 4, 12, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
FMCQUW, P, 4, 8, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
FMCQUW, R, 4, 10, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
FMCQUW, Y, 4, 4, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
M5TTVM, G, 4, 12, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
M5TTVM, P, 4, 8, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
M5TTVM, R, 4, 10, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
M5TTVM, Y, 4, 4, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
QPIXA6, G, 4, 12, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
QPIXA6, P, 4, 8, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
QPIXA6, R, 4, 10, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
QPIXA6, Y, 4, 4, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
SSLKLM, B, 4, 13, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
SSLKLM, G, 4, 12, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
SSLKLM, P, 4, 8, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
SSLKLM, Y, 4, 4, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
UB9JUO, B, 4, 13, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
UB9JUO, P, 4, 8, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
UB9JUO, Y, 4, 4, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
YNARY8, B, 4, 13, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
YNARY8, P, 4, 8, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
YNARY8, R, 4, 10, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
YNARY8, Y, 4, 4, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
ZQLVDY, B, 4, 13, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
ZQLVDY, P, 4, 8, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
ZQLVDY, Y, 4, 4, -inf, 4
4X7F6M, B, 3, 4, -inf, 4
79JY8A, G, 2, 4, 4, inf
4X7F6M, P, 3, inf, 4, inf
96Y3RZ, G, 4, 9, 4, inf
4X7F6M, P, 3, 9, 4, 9
96Y3RZ, P, 4, 5, 4, 9
4X7F6M, P, 3, 5, 4, 5
96Y3RZ, R, 4, 7, 4, 5
4X7F6M, P, 3, 5, 4, 5
96Y3RZ, Y, 4, 1, 4, 5
4X7F6M, P, 3, 1, 4, 5
79JY8A, G, 2, 4, 4, inf
4X7F6M, R, 3, inf, 4, inf
96Y3RZ, G, 4, -3, 4, inf
4X7F6M, R, 3, -3, 4, inf
79JY8A, G, 2, 4, 4, inf
4X7F6M, Y, 3, inf, 4, inf
96Y3RZ, G, 4, 3, 4, inf
4X7F6M, Y, 3, 3, 4, inf
79JY8A, G, 2, 4, 4, inf
96Y3RZ, G, 3, inf, 4, inf
1OZ1WH, B, 4, 3, 4, inf
96Y3RZ, G, 3, 3, 4, inf
79JY8A, G, 2, 4, 4, inf
96Y3RZ, P, 3, inf, 4, inf
1OZ1WH, B, 4, 10, 4, inf
96Y3RZ, P, 3, 10, 4, 10
1OZ1WH, G, 4, 9, 4, 10
96Y3RZ, P, 3, 9, 4, 9
1OZ1WH, R, 4, 7, 4, 9
96Y3RZ, P, 3, 7, 4, 7
1OZ1WH, Y, 4, 1, 4, 7
96Y3RZ, P, 3, 1, 4, 7
79JY8A, G, 2, 4, 4, inf
96Y3RZ, R, 3, inf, 4, inf
1OZ1WH, B, 4, -2, 4, inf
96Y3RZ, R, 3, -2, 4, inf
79JY8A, G, 2, 4, 4, inf
96Y3RZ, Y, 3, inf, 4, inf
1OZ1WH, B, 4, 4, 4, inf
96Y3RZ, Y, 3, 4, 4, inf
79JY8A, G, 2, 4, 4, inf
9708QA, G, 3, inf, 4, inf
4X7F6M, B, 4, 3, 4, inf
9708QA, G, 3, 3, 4, inf
79JY8A, G, 2, 4, 4, inf
9708QA, P, 3, inf, 4, inf
4X7F6M, B, 4, 10, 4, inf
9708QA, P, 3, 10, 4, 10
4X7F6M, P, 4, 5, 4, 10
9708QA, P, 3, 5, 4, 5
4X7F6M, R, 4, 7, 4, 5
9708QA, P, 3, 5, 4, 5
4X7F6M, Y, 4, 1, 4, 5
9708QA, P, 3, 1, 4, 5
79JY8A, G, 2, 4, 4, inf
9708QA, R, 3, inf, 4, inf
4X7F6M, B, 4, -2, 4, inf
9708QA, R, 3, -2, 4, inf
79JY8A, G, 2, 4, 4, inf
9708QA, Y, 3, inf, 4, inf
4X7F6M, B, 4, 4, 4, inf
9708QA, Y, 3, 4, 4, inf
79JY8A, G, 2, 4, 4, inf
APNFUQ, B, 3, inf, 4, inf
4X7F6M, B, 4, 13, 4, inf
APNFUQ, B, 3, 13, 4, 13
4X7F6M, P, 4, 8, 4, 13
APNFUQ, B, 3, 8, 4, 8
4X7F6M, R, 4, 10, 4, 8
APNFUQ, B, 3, 8, 4, 8
4X7F6M, Y, 4, 4, 4, 8
APNFUQ, B, 3, 4, 4, 8
79JY8A, G, 2, 4, 4, inf
APNFUQ, P, 3, inf, 4, inf
4X7F6M, B, 4, 10, 4, inf
APNFUQ, P, 3, 10, 4, 10
4X7F6M, P, 4, 5, 4, 10
APNFUQ, P, 3, 5, 4, 5
4X7F6M, R, 4, 7, 4, 5
APNFUQ, P, 3, 5, 4, 5
4X7F6M, Y, 4, 1, 4, 5
APNFUQ, P, 3, 1, 4, 5
79JY8A, G, 2, 4, 4, inf
APNFUQ, R, 3, inf, 4, inf
4X7F6M, B, 4, -2, 4, inf
APNFUQ, R, 3, -2, 4, inf
79JY8A, G, 2, 4, 4, inf
APNFUQ, Y, 3, inf, 4, inf
4X7F6M, B, 4, 4, 4, inf
APNFUQ, Y, 3, 4, 4, inf
79JY8A, G, 2, 4, 4, inf
FMCQUW, G, 3, inf, 4, inf
1OZ1WH, B, 4, 3, 4, inf
FMCQUW, G, 3, 3, 4, inf
79JY8A, G, 2, 4, 4, inf
FMCQUW, P, 3, inf, 4, inf
1OZ1WH, B, 4, 10, 4, inf
FMCQUW, P, 3, 10, 4, 10
1OZ1WH, G, 4, 9, 4, 10
FMCQUW, P, 3, 9, 4, 9
1OZ1WH, R, 4, 7, 4, 9
FMCQUW, P, 3, 7, 4, 7
1OZ1WH, Y, 4, 1, 4, 7
FMCQUW, P, 3, 1, 4, 7
79JY8A, G, 2, 4, 4, inf
FMCQUW, R, 3, inf, 4, inf
1OZ1WH, B, 4, -2, 4, inf
FMCQUW, R, 3, -2, 4, inf
79JY8A, G, 2, 4, 4, inf
FMCQUW, Y, 3, inf, 4, inf
1OZ1WH, B, 4, 4, 4, inf
FMCQUW, Y, 3, 4, 4, inf
79JY8A, G, 2, 4, 4, inf
QPIXA6, G, 3, inf, 4, inf
4X7F6M, B, 4, 3, 4, inf
QPIXA6, G, 3, 3, 4, inf
79JY8A, G, 2, 4, 4, inf
QPIXA6, P, 3, inf, 4, inf
4X7F6M, B, 4, 10, 4, inf
QPIXA6, P, 3, 10, 4, 10
4X7F6M, P, 4, 5, 4, 10
