LL8ENE, G, 0, -inf, -inf, inf
7MBB7Q, B, 1, inf, -inf, inf
31Z0WX, G, 2, -inf, -inf, inf
8R6FXF, G, 3, inf, -inf, inf
9CY2PD, B, 4, 6, -inf, inf
8R6FXF, G, 3, 6, -inf, 6
9CY2PD, Y, 4, 10, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
9UVODX, B, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
9UVODX, R, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
9UVODX, Y, 4, 10, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
DNW5WH, B, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
DNW5WH, R, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
DNW5WH, Y, 4, 10, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
ECOZUU, B, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
ECOZUU, R, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
ECOZUU, Y, 4, 10, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
GJ9DGA, B, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
GJ9DGA, R, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
GJ9DGA, Y, 4, 10, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
KT9A9E, B, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
KT9A9E, R, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
KT9A9E, Y, 4, 10, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
LE239A, G, 4, 13, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
LE239A, Y, 4, 10, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
M8HDRJ, R, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
M8HDRJ, Y, 4, 10, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
NJ5QCS, B, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
NJ5QCS, R, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
NJ5QCS, Y, 4, 10, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
QCVGNN, B, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
QCVGNN, R, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
QCVGNN, Y, 4, 10, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
S6712X, B, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
S6712X, R, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
S6712X, Y, 4, 10, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
STE00G, B, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
STE00G, R, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
STE00G, Y, 4, 10, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
TWGO8A, G, 4, 13, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
TWGO8A, Y, 4, 10, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
US40UL, R, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
US40UL, Y, 4, 10, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
W61GK1, G, 4, 13, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
W61GK1, R, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
W61GK1, Y, 4, 10, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
XI2AYM, B, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
XI2AYM, R, 4, 6, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
XI2AYM, Y, 4, 10, -inf, 6
8R6FXF, G, 3, 6, -inf, 6
31Z0WX, G, 2, 6, 6, inf
8R6FXF, R, 3, inf, 6, inf
9CY2PD, B, 4, 6, 6, inf
8R6FXF, R, 3, 6, 6, inf
31Z0WX, G, 2, 6, 6, inf
