QPL7V4, G, 0, -inf, -inf, inf
253D7E, B, 1, inf, -inf, inf
CD9VU5, B, 2, -inf, -inf, inf
185I8G, G, 3, -1, -inf, inf
CD9VU5, B, 2, -1, -1, inf
185I8G, P, 3, -11, -1, inf
CD9VU5, B, 2, -1, -1, inf
185I8G, R, 3, 2, -1, inf
CD9VU5, B, 2, 2, 2, inf
185I8G, Y, 3, -3, 2, inf
CD9VU5, B, 2, 2, 2, inf
EZPSF9, B, 3, -9, 2, inf
CD9VU5, B, 2, 2, 2, inf
EZPSF9, P, 3, -11, 2, inf
CD9VU5, B, 2, 2, 2, inf
EZPSF9, R, 3, 2, 2, inf
CD9VU5, B, 2, 2, 2, inf
EZPSF9, Y, 3, -3, 2, inf
CD9VU5, B, 2, 2, 2, inf
GKYB2V, G, 3, -1, 2, inf
CD9VU5, B, 2, 2, 2, inf
GKYB2V, P, 3, -11, 2, inf
CD9VU5, B, 2, 2, 2, inf
GKYB2V, R, 3, 2, 2, inf
CD9VU5, B, 2, 2, 2, inf
GKYB2V, Y, 3, -3, 2, inf
CD9VU5, B, 2, 2, 2, inf
KQQOCR, G, 3, -1, 2, inf
CD9VU5, B, 2, 2, 2, inf
KQQOCR, P, 3, -11, 2, inf
CD9VU5, B, 2, 2, 2, inf
KQQOCR, R, 3, 2, 2, inf
CD9VU5, B, 2, 2, 2, inf
KQQOCR, Y, 3, -3, 2, inf
CD9VU5, B, 2, 2, 2, inf
O9SUZZ, G, 3, -1, 2, inf
CD9VU5, B, 2, 2, 2, inf
O9SUZZ, P, 3, -11, 2, inf
CD9VU5, B, 2, 2, 2, inf
O9SUZZ, R, 3, 2, 2, inf
CD9VU5, B, 2, 2, 2, inf
O9SUZZ, Y, 3, -3, 2, inf
CD9VU5, B, 2, 2, 2, inf
QC0IBC, G, 3, -1, 2, inf
CD9VU5, B, 2, 2, 2, inf
QC0IBC, P, 3, -11, 2, inf
CD9VU5, B, 2, 2, 2, inf
QC0IBC, R, 3, 2, 2, inf
CD9VU5, B, 2, 2, 2, inf
QC0IBC, Y, 3, -3, 2, inf
CD9VU5, B, 2, 2, 2, inf
QOSV86, G, 3, -1, 2, inf
CD9VU5, B, 2, 2, 2, inf
QOSV86, P, 3, -11, 2, inf
CD9VU5, B, 2, 2, 2, inf
QOSV86, Y, 3, -3, 2, inf
CD9VU5, B, 2, 2, 2, inf
RKOCLJ, P, 3, -11, 2, inf
CD9VU5, B, 2, 2, 2, inf
RKOCLJ, R, 3, 2, 2, inf
CD9VU5, B, 2, 2, 2, inf
RKOCLJ, Y, 3, -3, 2, inf
CD9VU5, B, 2, 2, 2, inf
SL3KNZ, B, 3, -9, 2, inf
CD9VU5, B, 2, 2, 2, inf
SL3KNZ, G, 3, -1, 2, inf
CD9VU5, B, 2, 2, 2, inf
SL3KNZ, P, 3, -11, 2, inf
CD9VU5, B, 2, 2, 2, inf
SL3KNZ, Y, 3, -3, 2, inf
CD9VU5, B, 2, 2, 2, inf
UIZHEI, P, 3, -11, 2, inf
CD9VU5, B, 2, 2, 2, inf
UIZHEI, R, 3, 2, 2, inf
CD9VU5, B, 2, 2, 2, inf
UIZHEI, Y, 3, -3, 2, inf
CD9VU5, B, 2, 2, 2, inf
Z2L8IK, B, 3, -9, 2, inf
CD9VU5, B, 2, 2, 2, inf
Z2L8IK, G, 3, -1, 2, inf
CD9VU5, B, 2, 2, 2, inf
Z2L8IK, P, 3, -11, 2, inf
CD9VU5, B, 2, 2, 2, inf
Z2L8IK, Y, 3, -3, 2, inf
CD9VU5, B, 2, 2, 2, inf
253D7E, B, 1, 2, -inf, 2
CD9VU5, P, 2, -inf, -inf, 2
185I8G, B, 3, 1, -inf, 2
CD9VU5, P, 2, 1, 1, 2
185I8G, G, 3, 9, 1, 2
CD9VU5, P, 2, 9, 1, 2
253D7E, B, 1, 2, -inf, 2
CD9VU5, R, 2, -inf, -inf, 2
185I8G, B, 3, -10, -inf, 2
CD9VU5, R, 2, -10, -10, 2
185I8G, G, 3, -2, -10, 2
CD9VU5, R, 2, -2, -2, 2
185I8G, P, 3, -12, -2, 2
CD9VU5, R, 2, -2, -2, 2
185I8G, Y, 3, -4, -2, 2
CD9VU5, R, 2, -2, -2, 2
EZPSF9, B, 3, -10, -2, 2
CD9VU5, R, 2, -2, -2, 2
EZPSF9, P, 3, -12, -2, 2
CD9VU5, R, 2, -2, -2, 2
EZPSF9, R, 3, 1, -2, 2
CD9VU5, R, 2, 1, 1, 2
EZPSF9, Y, 3, -4, 1, 2
CD9VU5, R, 2, 1, 1, 2
GKYB2V, B, 3, -10, 1, 2
CD9VU5, R, 2, 1, 1, 2
GKYB2V, G, 3, -2, 1, 2
CD9VU5, R, 2, 1, 1, 2
GKYB2V, P, 3, -12, 1, 2
CD9VU5, R, 2, 1, 1, 2
GKYB2V, Y, 3, -4, 1, 2
CD9VU5, R, 2, 1, 1, 2
KQQOCR, B, 3, -10, 1, 2
CD9VU5, R, 2, 1, 1, 2
KQQOCR, G, 3, -2, 1, 2
CD9VU5, R, 2, 1, 1, 2
KQQOCR, P, 3, -12, 1, 2
CD9VU5, R, 2, 1, 1, 2
KQQOCR, Y, 3, -4, 1, 2
CD9VU5, R, 2, 1, 1, 2
O9SUZZ, B, 3, -10, 1, 2
CD9VU5, R, 2, 1, 1, 2
O9SUZZ, G, 3, -2, 1, 2
CD9VU5, R, 2, 1, 1, 2
O9SUZZ, P, 3, -12, 1, 2
CD9VU5, R, 2, 1, 1, 2
O9SUZZ, Y, 3, -4, 1, 2
CD9VU5, R, 2, 1, 1, 2
QC0IBC, G, 3, -2, 1, 2
CD9VU5, R, 2, 1, 1, 2
QC0IBC, P, 3, -12, 1, 2
CD9VU5, R, 2, 1, 1, 2
QC0IBC, Y, 3, -4, 1, 2
CD9VU5, R, 2, 1, 1, 2
QOSV86, G, 3, -2, 1, 2
CD9VU5, R, 2, 1, 1, 2
QOSV86, P, 3, -12, 1, 2
CD9VU5, R, 2, 1, 1, 2
QOSV86, Y, 3, -4, 1, 2
CD9VU5, R, 2, 1, 1, 2
RKOCLJ, P, 3, -12, 1, 2
CD9VU5, R, 2, 1, 1, 2
RKOCLJ, R, 3, 1, 1, 2
CD9VU5, R, 2, 1, 1, 2
RKOCLJ, Y, 3, -4, 1, 2
CD9VU5, R, 2, 1, 1, 2
SL3KNZ, B, 3, -10, 1, 2
CD9VU5, R, 2, 1, 1, 2
SL3KNZ, G, 3, -2, 1, 2
CD9VU5, R, 2, 1, 1, 2
SL3KNZ, P, 3, -12, 1, 2
CD9VU5, R, 2, 1, 1, 2
SL3KNZ, Y, 3, -4, 1, 2
CD9VU5, R, 2, 1, 1, 2
UIZHEI, P, 3, -12, 1, 2
CD9VU5, R, 2, 1, 1, 2
UIZHEI, R, 3, 1, 1, 2
CD9VU5, R, 2, 1, 1, 2
UIZHEI, Y, 3, -4, 1, 2
CD9VU5, R, 2, 1, 1, 2
Z2L8IK, B, 3, -10, 1, 2
CD9VU5, R, 2, 1, 1, 2
Z2L8IK, G, 3, -2, 1, 2
CD9VU5, R, 2, 1, 1, 2
Z2L8IK, P, 3, -12, 1, 2
CD9VU5, R, 2, 1, 1, 2
Z2L8IK, Y, 3, -4, 1, 2
CD9VU5, R, 2, 1, 1, 2
253D7E, B, 1, 1, -inf, 1
CD9VU5, Y, 2, -inf, -inf, 1
185I8G, B, 3, -3, -inf, 1
CD9VU5, Y, 2, -3, -3, 1
185I8G, G, 3, 5, -3, 1
CD9VU5, Y, 2, 5, -3, 1
253D7E, B, 1, 1, -inf, 1
EZPSF9, B, 2, -inf, -inf, 1
CD9VU5, B, 3, -9, -inf, 1
EZPSF9, B, 2, -9, -9, 1
CD9VU5, P, 3, -11, -9, 1
EZPSF9, B, 2, -9, -9, 1
CD9VU5, R, 3, 2, -9, 1
EZPSF9, B, 2, 2, -9, 1
253D7E, B, 1, 1, -inf, 1
EZPSF9, P, 2, -inf, -inf, 1
CD9VU5, B, 3, 1, -inf, 1
EZPSF9, P, 2, 1, -inf, 1
253D7E, B, 1, 1, -inf, 1
EZPSF9, R, 2, -inf, -inf, 1
CD9VU5, B, 3, -10, -inf, 1
EZPSF9, R, 2, -10, -10, 1
CD9VU5, P, 3, -12, -10, 1
EZPSF9, R, 2, -10, -10, 1
CD9VU5, R, 3, 1, -10, 1
EZPSF9, R, 2, 1, -10, 1
253D7E, B, 1, 1, -inf, 1
EZPSF9, Y, 2, -inf, -inf, 1
CD9VU5, B, 3, -3, -inf, 1
EZPSF9, Y, 2, -3, -3, 1
CD9VU5, P, 3, -5, -3, 1
EZPSF9, Y, 2, -3, -3, 1
CD9VU5, R, 3, 8, -3, 1
EZPSF9, Y, 2, 8, -3, 1
253D7E, B, 1, 1, -inf, 1
QC0IBC, G, 2, -inf, -inf, 1
CD9VU5, B, 3, -11, -inf, 1
QC0IBC, G, 2, -11, -11, 1
CD9VU5, P, 3, -13, -11, 1
QC0IBC, G, 2, -11, -11, 1
CD9VU5, R, 3, 0, -11, 1
QC0IBC, G, 2, 0, 0, 1
CD9VU5, Y, 3, -5, 0, 1
QC0IBC, G, 2, 0, 0, 1
EZPSF9, B, 3, -11, 0, 1
QC0IBC, G, 2, 0, 0, 1
EZPSF9, P, 3, -13, 0, 1
QC0IBC, G, 2, 0, 0, 1
EZPSF9, R, 3, 0, 0, 1
QC0IBC, G, 2, 0, 0, 1
EZPSF9, Y, 3, -5, 0, 1
QC0IBC, G, 2, 0, 0, 1
QOSV86, G, 3, -3, 0, 1
QC0IBC, G, 2, 0, 0, 1
QOSV86, P, 3, -13, 0, 1
QC0IBC, G, 2, 0, 0, 1
QOSV86, Y, 3, -5, 0, 1
QC0IBC, G, 2, 0, 0, 1
RKOCLJ, P, 3, -13, 0, 1
QC0IBC, G, 2, 0, 0, 1
RKOCLJ, R, 3, 0, 0, 1
QC0IBC, G, 2, 0, 0, 1
RKOCLJ, Y, 3, -5, 0, 1
QC0IBC, G, 2, 0, 0, 1
SL3KNZ, B, 3, -11, 0, 1
QC0IBC, G, 2, 0, 0, 1
SL3KNZ, P, 3, -13, 0, 1
QC0IBC, G, 2, 0, 0, 1
SL3KNZ, Y, 3, -5, 0, 1
QC0IBC, G, 2, 0, 0, 1
UIZHEI, P, 3, -13, 0, 1
