39KZHL, G, 0, -inf, -inf, inf
1O7SKL, B, 1, inf, -inf, inf
89OO3B, G, 2, -inf, -inf, inf
ALDU5F, G, 3, inf, -inf, inf
F3HQ9T, B, 4, 2, -inf, inf
ALDU5F, G, 3, 2, -inf, 2
F3HQ9T, O, 4, -2, -inf, 2
ALDU5F, G, 3, -2, -inf, -2
F3HQ9T, P, 4, 1, -inf, -2
ALDU5F, G, 3, -2, -inf, -2
F3HQ9T, R, 4, -3, -inf, -2
ALDU5F, G, 3, -3, -inf, -3
F3HQ9T, Y, 4, -3, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
I6XTP9, B, 4, 2, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
I6XTP9, O, 4, -2, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
I6XTP9, P, 4, 1, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
I6XTP9, R, 4, -3, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
I6XTP9, Y, 4, -3, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
J3S4LL, B, 4, 2, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
J3S4LL, O, 4, -2, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
J3S4LL, P, 4, 1, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
J3S4LL, Y, 4, -3, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
RIGQBQ, O, 4, -2, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
RIGQBQ, P, 4, 1, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
RIGQBQ, R, 4, -3, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
RIGQBQ, Y, 4, -3, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
S9OGAW, B, 4, 2, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
S9OGAW, O, 4, -2, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
S9OGAW, P, 4, 1, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
S9OGAW, R, 4, -3, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
S9OGAW, Y, 4, -3, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
T0YVAQ, B, 4, 2, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
T0YVAQ, O, 4, -2, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
T0YVAQ, P, 4, 1, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
T0YVAQ, R, 4, -3, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
T0YVAQ, Y, 4, -3, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
U1DPGK, O, 4, -2, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
U1DPGK, P, 4, 1, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
U1DPGK, R, 4, -3, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
U1DPGK, Y, 4, -3, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
U6W77E, O, 4, -2, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
U6W77E, P, 4, 1, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
U6W77E, R, 4, -3, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
U6W77E, Y, 4, -3, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
ZWHEJ4, G, 4, 9, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
ZWHEJ4, O, 4, -2, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
ZWHEJ4, P, 4, 1, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
ZWHEJ4, R, 4, -3, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
ZWHEJ4, Y, 4, -3, -inf, -3
ALDU5F, G, 3, -3, -inf, -3
89OO3B, G, 2, -3, -3, inf
ALDU5F, O, 3, inf, -3, inf
