UPYJ9U, G, 0, -inf, -inf, inf
0PP42D, B, 1, inf, -inf, inf
18BWYA, G, 2, -inf, -inf, inf
0S6XTZ, B, 3, 16, -inf, inf
18BWYA, G, 2, 16, 16, inf
0S6XTZ, P, 3, 10, 16, inf
18BWYA, G, 2, 16, 16, inf
0S6XTZ, R, 3, 7, 16, inf
18BWYA, G, 2, 16, 16, inf
0S6XTZ, Y, 3, 14, 16, inf
18BWYA, G, 2, 16, 16, inf
1OCV17, G, 3, 2, 16, inf
18BWYA, G, 2, 16, 16, inf
1OCV17, P, 3, 10, 16, inf
18BWYA, G, 2, 16, 16, inf
1OCV17, R, 3, 7, 16, inf
18BWYA, G, 2, 16, 16, inf
1OCV17, Y, 3, 14, 16, inf
18BWYA, G, 2, 16, 16, inf
464I3S, G, 3, 2, 16, inf
18BWYA, G, 2, 16, 16, inf
464I3S, P, 3, 10, 16, inf
18BWYA, G, 2, 16, 16, inf
464I3S, R, 3, 7, 16, inf
18BWYA, G, 2, 16, 16, inf
464I3S, Y, 3, 14, 16, inf
18BWYA, G, 2, 16, 16, inf
51VNC2, B, 3, 16, 16, inf
18BWYA, G, 2, 16, 16, inf
51VNC2, P, 3, 10, 16, inf
18BWYA, G, 2, 16, 16, inf
51VNC2, R, 3, 7, 16, inf
18BWYA, G, 2, 16, 16, inf
51VNC2, Y, 3, 14, 16, inf
18BWYA, G, 2, 16, 16, inf
BV790R, B, 3, 16, 16, inf
18BWYA, G, 2, 16, 16, inf
BV790R, P, 3, 10, 16, inf
18BWYA, G, 2, 16, 16, inf
BV790R, Y, 3, 14, 16, inf
18BWYA, G, 2, 16, 16, inf
CF8GZL, G, 3, 2, 16, inf
18BWYA, G, 2, 16, 16, inf
CF8GZL, P, 3, 10, 16, inf
18BWYA, G, 2, 16, 16, inf
CF8GZL, Y, 3, 14, 16, inf
18BWYA, G, 2, 16, 16, inf
CIR46M, B, 3, 16, 16, inf
18BWYA, G, 2, 16, 16, inf
CIR46M, P, 3, 10, 16, inf
18BWYA, G, 2, 16, 16, inf
CIR46M, R, 3, 7, 16, inf
18BWYA, G, 2, 16, 16, inf
CIR46M, Y, 3, 14, 16, inf
18BWYA, G, 2, 16, 16, inf
CL2X5M, B, 3, 16, 16, inf
18BWYA, G, 2, 16, 16, inf
CL2X5M, G, 3, 2, 16, inf
18BWYA, G, 2, 16, 16, inf
CL2X5M, P, 3, 10, 16, inf
18BWYA, G, 2, 16, 16, inf
CL2X5M, Y, 3, 14, 16, inf
18BWYA, G, 2, 16, 16, inf
EWP924, B, 3, 16, 16, inf
