ZKDN7L, G, 0, -inf, -inf, inf
33PXCN, B, 1, inf, -inf, inf
4X8BBI, G, 2, -inf, -inf, inf
3EZBRQ, B, 3, inf, -inf, inf
6EHM3Q, B, 4, -14, -inf, inf
3EZBRQ, B, 3, -14, -inf, -14
6EHM3Q, P, 4, -16, -inf, -14
3EZBRQ, B, 3, -16, -inf, -16
6EHM3Q, R, 4, -15, -inf, -16
3EZBRQ, B, 3, -16, -inf, -16
6EHM3Q, Y, 4, -15, -inf, -16
3EZBRQ, B, 3, -16, -inf, -16
90V1TB, G, 4, -18, -inf, -16
3EZBRQ, B, 3, -18, -inf, -18
90V1TB, P, 4, -16, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
90V1TB, R, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
90V1TB, Y, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
AZNZW6, P, 4, -16, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
AZNZW6, R, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
AZNZW6, Y, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
HVF5GE, B, 4, -14, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
HVF5GE, G, 4, -18, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
HVF5GE, P, 4, -16, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
HVF5GE, Y, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
O52HYD, G, 4, -18, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
O52HYD, P, 4, -16, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
O52HYD, R, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
O52HYD, Y, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
UVUETX, B, 4, -14, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
UVUETX, G, 4, -18, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
UVUETX, P, 4, -16, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
UVUETX, Y, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
VKMURE, B, 4, -14, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
VKMURE, P, 4, -16, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
VKMURE, R, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
VKMURE, Y, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
VWMFU9, G, 4, -18, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
VWMFU9, P, 4, -16, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
VWMFU9, R, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
VWMFU9, Y, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
WQ4YKE, G, 4, -18, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
WQ4YKE, P, 4, -16, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
WQ4YKE, R, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
WQ4YKE, Y, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
WWN9BE, G, 4, -18, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
WWN9BE, P, 4, -16, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
WWN9BE, Y, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
4X8BBI, G, 2, -18, -18, inf
3EZBRQ, P, 3, inf, -18, inf
6EHM3Q, B, 4, -11, -18, inf
3EZBRQ, P, 3, -11, -18, -11
6EHM3Q, P, 4, -13, -18, -11
3EZBRQ, P, 3, -13, -18, -13
6EHM3Q, R, 4, -12, -18, -13
3EZBRQ, P, 3, -13, -18, -13
6EHM3Q, Y, 4, -12, -18, -13
3EZBRQ, P, 3, -13, -18, -13
90V1TB, G, 4, -15, -18, -13
3EZBRQ, P, 3, -15, -18, -15
90V1TB, P, 4, -13, -18, -15
3EZBRQ, P, 3, -15, -18, -15
90V1TB, R, 4, -12, -18, -15
3EZBRQ, P, 3, -15, -18, -15
90V1TB, Y, 4, -12, -18, -15
3EZBRQ, P, 3, -15, -18, -15
AZNZW6, P, 4, -13, -18, -15
3EZBRQ, P, 3, -15, -18, -15
