6XIYSR, G, 0, -inf, -inf, inf
9KY7VW, B, 1, inf, -inf, inf
9NVS33, B, 2, -inf, -inf, inf
2GZ2EK, G, 3, inf, -inf, inf
3WSZG0, B, 4, 0, -inf, inf
2GZ2EK, G, 3, 0, -inf, 0
3WSZG0, R, 4, -5, -inf, 0
2GZ2EK, G, 3, -5, -inf, -5
F4P832, B, 4, 0, -inf, -5
2GZ2EK, G, 3, -5, -inf, -5
F4P832, G, 4, -11, -inf, -5
2GZ2EK, G, 3, -11, -inf, -11
HUGCH7, B, 4, 0, -inf, -11
2GZ2EK, G, 3, -11, -inf, -11
HUGCH7, G, 4, -11, -inf, -11
2GZ2EK, G, 3, -11, -inf, -11
K2UCHL, B, 4, 0, -inf, -11
2GZ2EK, G, 3, -11, -inf, -11
K2UCHL, G, 4, -11, -inf, -11
2GZ2EK, G, 3, -11, -inf, -11
K43M77, R, 4, -5, -inf, -11
2GZ2EK, G, 3, -11, -inf, -11
MIAG3R, B, 4, 0, -inf, -11
2GZ2EK, G, 3, -11, -inf, -11
MIAG3R, R, 4, -5, -inf, -11
2GZ2EK, G, 3, -11, -inf, -11
Q0OK79, B, 4, 0, -inf, -11
2GZ2EK, G, 3, -11, -inf, -11
Q0OK79, R, 4, -5, -inf, -11
2GZ2EK, G, 3, -11, -inf, -11
YHR68H, B, 4, 0, -inf, -11
2GZ2EK, G, 3, -11, -inf, -11
YHR68H, R, 4, -5, -inf, -11
2GZ2EK, G, 3, -11, -inf, -11
ZZXXNN, G, 4, -11, -inf, -11
2GZ2EK, G, 3, -11, -inf, -11
ZZXXNN, R, 4, -5, -inf, -11
2GZ2EK, G, 3, -11, -inf, -11
9NVS33, B, 2, -11, -11, inf
2GZ2EK, R, 3, inf, -11, inf
3WSZG0, B, 4, -11, -11, inf
2GZ2EK, R, 3, -11, -11, inf
9NVS33, B, 2, -11, -11, inf
F4P832, B, 3, inf, -11, inf
2GZ2EK, G, 4, -22, -11, inf
F4P832, B, 3, -22, -11, inf
9NVS33, B, 2, -11, -11, inf
F4P832, G, 3, inf, -11, inf
2GZ2EK, G, 4, -11, -11, inf
F4P832, G, 3, -11, -11, inf
9NVS33, B, 2, -11, -11, inf
HUGCH7, B, 3, inf, -11, inf
2GZ2EK, G, 4, -22, -11, inf
HUGCH7, B, 3, -22, -11, inf
9NVS33, B, 2, -11, -11, inf
HUGCH7, G, 3, inf, -11, inf
2GZ2EK, G, 4, -11, -11, inf
HUGCH7, G, 3, -11, -11, inf
9NVS33, B, 2, -11, -11, inf
K2UCHL, B, 3, inf, -11, inf
2GZ2EK, G, 4, -22, -11, inf
K2UCHL, B, 3, -22, -11, inf
9NVS33, B, 2, -11, -11, inf
K2UCHL, G, 3, inf, -11, inf
2GZ2EK, G, 4, -11, -11, inf
K2UCHL, G, 3, -11, -11, inf
9NVS33, B, 2, -11, -11, inf
K43M77, G, 3, inf, -11, inf
2GZ2EK, R, 4, -5, -11, inf
K43M77, G, 3, -5, -11, -5
3WSZG0, B, 4, 0, -11, -5
K43M77, G, 3, -5, -11, -5
3WSZG0, R, 4, -5, -11, -5
K43M77, G, 3, -5, -11, -5
5T5FB6, B, 4, 0, -11, -5
K43M77, G, 3, -5, -11, -5
5T5FB6, R, 4, -5, -11, -5
K43M77, G, 3, -5, -11, -5
F4P832, B, 4, 0, -11, -5
K43M77, G, 3, -5, -11, -5
F4P832, G, 4, -11, -11, -5
K43M77, G, 3, -11, -11, -5
9NVS33, B, 2, -11, -11, inf
K43M77, R, 3, inf, -11, inf
2GZ2EK, G, 4, -22, -11, inf
K43M77, R, 3, -22, -11, inf
9NVS33, B, 2, -11, -11, inf
ZZXXNN, G, 3, inf, -11, inf
2GZ2EK, G, 4, -11, -11, inf
ZZXXNN, G, 3, -11, -11, inf
9NVS33, B, 2, -11, -11, inf
ZZXXNN, R, 3, inf, -11, inf
2GZ2EK, G, 4, -22, -11, inf
ZZXXNN, R, 3, -22, -11, inf
9NVS33, B, 2, -11, -11, inf
9KY7VW, B, 1, -11, -inf, -11
9NVS33, R, 2, -inf, -inf, -11
2GZ2EK, B, 3, inf, -inf, -11
3WSZG0, G, 4, -27, -inf, -11
2GZ2EK, B, 3, -27, -inf, -27
3WSZG0, R, 4, -21, -inf, -27
2GZ2EK, B, 3, -27, -inf, -27
F4P832, B, 4, -16, -inf, -27
2GZ2EK, B, 3, -27, -inf, -27
F4P832, G, 4, -27, -inf, -27
2GZ2EK, B, 3, -27, -inf, -27
HUGCH7, B, 4, -16, -inf, -27
2GZ2EK, B, 3, -27, -inf, -27
HUGCH7, G, 4, -27, -inf, -27
2GZ2EK, B, 3, -27, -inf, -27
K2UCHL, B, 4, -16, -inf, -27
2GZ2EK, B, 3, -27, -inf, -27
K2UCHL, G, 4, -27, -inf, -27
2GZ2EK, B, 3, -27, -inf, -27
K43M77, G, 4, -27, -inf, -27
2GZ2EK, B, 3, -27, -inf, -27
MIAG3R, G, 4, -27, -inf, -27
2GZ2EK, B, 3, -27, -inf, -27
MIAG3R, R, 4, -21, -inf, -27
2GZ2EK, B, 3, -27, -inf, -27
Q0OK79, G, 4, -27, -inf, -27
2GZ2EK, B, 3, -27, -inf, -27
Q0OK79, R, 4, -21, -inf, -27
2GZ2EK, B, 3, -27, -inf, -27
YHR68H, G, 4, -27, -inf, -27
2GZ2EK, B, 3, -27, -inf, -27
YHR68H, R, 4, -21, -inf, -27
2GZ2EK, B, 3, -27, -inf, -27
ZZXXNN, B, 4, -16, -inf, -27
2GZ2EK, B, 3, -27, -inf, -27
ZZXXNN, G, 4, -27, -inf, -27
2GZ2EK, B, 3, -27, -inf, -27
9NVS33, R, 2, -27, -27, -11
2GZ2EK, G, 3, inf, -27, -11
3WSZG0, B, 4, -5, -27, -11
2GZ2EK, G, 3, -5, -27, -11
3WSZG0, R, 4, -10, -27, -11
2GZ2EK, G, 3, -10, -27, -11
F4P832, B, 4, -5, -27, -11
2GZ2EK, G, 3, -10, -27, -11
F4P832, G, 4, -16, -27, -11
2GZ2EK, G, 3, -16, -27, -16
HUGCH7, B, 4, -5, -27, -16
2GZ2EK, G, 3, -16, -27, -16
HUGCH7, G, 4, -16, -27, -16
2GZ2EK, G, 3, -16, -27, -16
K2UCHL, B, 4, -5, -27, -16
2GZ2EK, G, 3, -16, -27, -16
K2UCHL, G, 4, -16, -27, -16
2GZ2EK, G, 3, -16, -27, -16
K43M77, B, 4, -5, -27, -16
2GZ2EK, G, 3, -16, -27, -16
MIAG3R, B, 4, -5, -27, -16
2GZ2EK, G, 3, -16, -27, -16
MIAG3R, R, 4, -10, -27, -16
2GZ2EK, G, 3, -16, -27, -16
Q0OK79, B, 4, -5, -27, -16
2GZ2EK, G, 3, -16, -27, -16
Q0OK79, R, 4, -10, -27, -16
2GZ2EK, G, 3, -16, -27, -16
YHR68H, B, 4, -5, -27, -16
2GZ2EK, G, 3, -16, -27, -16
YHR68H, R, 4, -10, -27, -16
2GZ2EK, G, 3, -16, -27, -16
ZZXXNN, B, 4, -5, -27, -16
2GZ2EK, G, 3, -16, -27, -16
ZZXXNN, G, 4, -16, -27, -16
2GZ2EK, G, 3, -16, -27, -16
9NVS33, R, 2, -16, -16, -11
F4P832, B, 3, inf, -16, -11
2GZ2EK, B, 4, -16, -16, -11
F4P832, B, 3, -16, -16, -11
9NVS33, R, 2, -16, -16, -11
F4P832, G, 3, inf, -16, -11
2GZ2EK, B, 4, -5, -16, -11
F4P832, G, 3, -5, -16, -11
2GZ2EK, G, 4, -16, -16, -11
F4P832, G, 3, -16, -16, -11
9NVS33, R, 2, -16, -16, -11
HUGCH7, B, 3, inf, -16, -11
2GZ2EK, B, 4, -16, -16, -11
HUGCH7, B, 3, -16, -16, -11
9NVS33, R, 2, -16, -16, -11
HUGCH7, G, 3, inf, -16, -11
2GZ2EK, B, 4, -5, -16, -11
HUGCH7, G, 3, -5, -16, -11
2GZ2EK, G, 4, -16, -16, -11
HUGCH7, G, 3, -16, -16, -11
9NVS33, R, 2, -16, -16, -11
K2UCHL, B, 3, inf, -16, -11
2GZ2EK, B, 4, -16, -16, -11
K2UCHL, B, 3, -16, -16, -11
9NVS33, R, 2, -16, -16, -11
K2UCHL, G, 3, inf, -16, -11
2GZ2EK, B, 4, -5, -16, -11
K2UCHL, G, 3, -5, -16, -11
2GZ2EK, G, 4, -16, -16, -11
K2UCHL, G, 3, -16, -16, -11
9NVS33, R, 2, -16, -16, -11
K43M77, B, 3, inf, -16, -11
2GZ2EK, G, 4, -27, -16, -11
K43M77, B, 3, -27, -16, -11
9NVS33, R, 2, -16, -16, -11
K43M77, G, 3, inf, -16, -11
2GZ2EK, B, 4, -5, -16, -11
K43M77, G, 3, -5, -16, -11
3WSZG0, B, 4, -5, -16, -11
K43M77, G, 3, -5, -16, -11
3WSZG0, R, 4, -10, -16, -11
K43M77, G, 3, -10, -16, -11
5T5FB6, B, 4, -5, -16, -11
K43M77, G, 3, -10, -16, -11
5T5FB6, R, 4, -10, -16, -11
K43M77, G, 3, -10, -16, -11
F4P832, B, 4, -5, -16, -11
K43M77, G, 3, -10, -16, -11
F4P832, G, 4, -16, -16, -11
K43M77, G, 3, -16, -16, -11
9NVS33, R, 2, -16, -16, -11
ZZXXNN, B, 3, inf, -16, -11
2GZ2EK, B, 4, -16, -16, -11
ZZXXNN, B, 3, -16, -16, -11
9NVS33, R, 2, -16, -16, -11
ZZXXNN, G, 3, inf, -16, -11
2GZ2EK, B, 4, -5, -16, -11
ZZXXNN, G, 3, -5, -16, -11
2GZ2EK, G, 4, -16, -16, -11
ZZXXNN, G, 3, -16, -16, -11
9NVS33, R, 2, -16, -16, -11
9KY7VW, B, 1, -16, -inf, -16
F4P832, B, 2, -inf, -inf, -16
3WSZG0, G, 3, inf, -inf, -16
2GZ2EK, B, 4, 0, -inf, -16
3WSZG0, G, 3, 0, -inf, -16
2GZ2EK, R, 4, -5, -inf, -16
3WSZG0, G, 3, -5, -inf, -16
