H1E6B6, G, 0, -inf, -inf, inf
043ILG, B, 1, inf, -inf, inf
0IAHYC, B, 2, -inf, -inf, inf
2JW4I2, B, 3, inf, -inf, inf
0RHT6U, G, 4, 5, -inf, inf
2JW4I2, B, 3, 5, -inf, 5
0RHT6U, P, 4, 4, -inf, 5
2JW4I2, B, 3, 4, -inf, 4
0RHT6U, R, 4, -6, -inf, 4
2JW4I2, B, 3, -6, -inf, -6
0RHT6U, Y, 4, 1, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
2QGPCU, G, 4, 5, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
2QGPCU, P, 4, 4, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
2QGPCU, R, 4, -6, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
2QGPCU, Y, 4, 1, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
6FOGAR, G, 4, 5, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
6FOGAR, P, 4, 4, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
6FOGAR, R, 4, -6, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
6FOGAR, Y, 4, 1, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
6RU15F, G, 4, 5, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
6RU15F, P, 4, 4, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
6RU15F, R, 4, -6, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
6RU15F, Y, 4, 1, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
8CR2AE, G, 4, 5, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
8CR2AE, P, 4, 4, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
8CR2AE, Y, 4, 1, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
9HSKE7, B, 4, 1, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
9HSKE7, P, 4, 4, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
9HSKE7, Y, 4, 1, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
A5VQ8D, G, 4, 5, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
A5VQ8D, P, 4, 4, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
A5VQ8D, R, 4, -6, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
A5VQ8D, Y, 4, 1, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
B4SR4P, G, 4, 5, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
B4SR4P, P, 4, 4, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
B4SR4P, R, 4, -6, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
B4SR4P, Y, 4, 1, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
BXV6VG, G, 4, 5, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
BXV6VG, P, 4, 4, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
BXV6VG, R, 4, -6, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
BXV6VG, Y, 4, 1, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
DIV0T7, P, 4, 4, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
DIV0T7, R, 4, -6, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
DIV0T7, Y, 4, 1, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
FM7WRX, B, 4, 1, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
FM7WRX, P, 4, 4, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
FM7WRX, R, 4, -6, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
FM7WRX, Y, 4, 1, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
OOTFEM, P, 4, 4, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
OOTFEM, Y, 4, 1, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
QH5PFA, P, 4, 4, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
QH5PFA, R, 4, -6, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
QH5PFA, Y, 4, 1, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
T9RWJ7, B, 4, 1, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
T9RWJ7, G, 4, 5, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
T9RWJ7, P, 4, 4, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
T9RWJ7, Y, 4, 1, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
TTMKVO, G, 4, 5, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
TTMKVO, P, 4, 4, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
TTMKVO, R, 4, -6, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
TTMKVO, Y, 4, 1, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
Z9P4UM, B, 4, 1, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
Z9P4UM, P, 4, 4, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
Z9P4UM, R, 4, -6, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
Z9P4UM, Y, 4, 1, -inf, -6
2JW4I2, B, 3, -6, -inf, -6
0IAHYC, B, 2, -6, -6, inf
2JW4I2, P, 3, inf, -6, inf
0RHT6U, B, 4, 2, -6, inf
2JW4I2, P, 3, 2, -6, 2
0RHT6U, G, 4, 6, -6, 2
2JW4I2, P, 3, 2, -6, 2
0RHT6U, R, 4, -5, -6, 2
2JW4I2, P, 3, -5, -6, -5
0RHT6U, Y, 4, 2, -6, -5
2JW4I2, P, 3, -5, -6, -5
2QGPCU, G, 4, 6, -6, -5
2JW4I2, P, 3, -5, -6, -5
2QGPCU, R, 4, -5, -6, -5
2JW4I2, P, 3, -5, -6, -5
2QGPCU, Y, 4, 2, -6, -5
2JW4I2, P, 3, -5, -6, -5
6FOGAR, G, 4, 6, -6, -5
2JW4I2, P, 3, -5, -6, -5
6FOGAR, P, 4, 5, -6, -5
2JW4I2, P, 3, -5, -6, -5
6FOGAR, R, 4, -5, -6, -5
2JW4I2, P, 3, -5, -6, -5
6FOGAR, Y, 4, 2, -6, -5
