5CA6VJ, G, 0, -inf, -inf, inf
94Y912, B, 1, inf, -inf, inf
AP0NVM, B, 2, -inf, -inf, inf
7SNEM6, G, 3, inf, -inf, inf
8TGCSO, G, 4, 16, -inf, inf
7SNEM6, G, 3, 16, -inf, 16
8TGCSO, P, 4, 1, -inf, 16
7SNEM6, G, 3, 1, -inf, 1
8TGCSO, R, 4, 16, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
8TGCSO, Y, 4, 8, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
HQ05G0, B, 4, 2, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
HQ05G0, P, 4, 1, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
HQ05G0, R, 4, 16, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
HQ05G0, Y, 4, 8, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
J5S5CH, G, 4, 16, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
J5S5CH, P, 4, 1, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
J5S5CH, R, 4, 16, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
J5S5CH, Y, 4, 8, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
JR9C40, P, 4, 1, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
JR9C40, R, 4, 16, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
JR9C40, Y, 4, 8, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
M4AFDF, P, 4, 1, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
M4AFDF, R, 4, 16, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
M4AFDF, Y, 4, 8, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
NJD0TU, B, 4, 2, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
NJD0TU, P, 4, 1, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
NJD0TU, R, 4, 16, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
NJD0TU, Y, 4, 8, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
PPCJJT, B, 4, 2, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
PPCJJT, P, 4, 1, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
PPCJJT, R, 4, 16, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
PPCJJT, Y, 4, 8, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
QDQXZ1, P, 4, 1, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
QDQXZ1, R, 4, 16, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
QDQXZ1, Y, 4, 8, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
RIRK2U, G, 4, 16, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
RIRK2U, P, 4, 1, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
RIRK2U, R, 4, 16, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
RIRK2U, Y, 4, 8, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
RR8KM2, B, 4, 2, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
RR8KM2, P, 4, 1, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
RR8KM2, R, 4, 16, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
RR8KM2, Y, 4, 8, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
T8Q1Q8, G, 4, 16, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
T8Q1Q8, P, 4, 1, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
T8Q1Q8, R, 4, 16, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
T8Q1Q8, Y, 4, 8, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
U443VL, G, 4, 16, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
U443VL, P, 4, 1, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
U443VL, R, 4, 16, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
U443VL, Y, 4, 8, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
WU9EI8, G, 4, 16, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
WU9EI8, P, 4, 1, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
WU9EI8, R, 4, 16, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
WU9EI8, Y, 4, 8, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
X3CA4P, B, 4, 2, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
X3CA4P, G, 4, 16, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
X3CA4P, P, 4, 1, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
X3CA4P, Y, 4, 8, -inf, 1
7SNEM6, G, 3, 1, -inf, 1
AP0NVM, B, 2, 1, 1, inf
7SNEM6, P, 3, inf, 1, inf
8TGCSO, G, 4, 18, 1, inf
7SNEM6, P, 3, 18, 1, 18
8TGCSO, P, 4, 3, 1, 18
7SNEM6, P, 3, 3, 1, 3
8TGCSO, R, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
8TGCSO, Y, 4, 10, 1, 3
7SNEM6, P, 3, 3, 1, 3
HQ05G0, B, 4, 4, 1, 3
7SNEM6, P, 3, 3, 1, 3
HQ05G0, G, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
HQ05G0, R, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
HQ05G0, Y, 4, 10, 1, 3
7SNEM6, P, 3, 3, 1, 3
J5S5CH, G, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
J5S5CH, P, 4, 3, 1, 3
7SNEM6, P, 3, 3, 1, 3
J5S5CH, R, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
J5S5CH, Y, 4, 10, 1, 3
7SNEM6, P, 3, 3, 1, 3
JR9C40, G, 4, 18, 1, 3
7SNEM6, P, 3, 3, 1, 3
