Y5AK5V, G, 0, -inf, -inf, inf
572PSY, B, 1, inf, -inf, inf
5ARP8X, B, 2, -inf, -inf, inf
5V4RTP, G, 3, inf, -inf, inf
FN6FXI, R, 4, 0, -inf, inf
5V4RTP, G, 3, 0, -inf, 0
FVHX54, B, 4, 3, -inf, 0
5V4RTP, G, 3, 0, -inf, 0
FVHX54, G, 4, 9, -inf, 0
5V4RTP, G, 3, 0, -inf, 0
JPKJGU, R, 4, 0, -inf, 0
5V4RTP, G, 3, 0, -inf, 0
KV5GZ0, R, 4, 0, -inf, 0
5V4RTP, G, 3, 0, -inf, 0
PAFB9P, B, 4, 3, -inf, 0
5V4RTP, G, 3, 0, -inf, 0
PAFB9P, G, 4, 9, -inf, 0
5V4RTP, G, 3, 0, -inf, 0
PEU7VW, B, 4, 3, -inf, 0
5V4RTP, G, 3, 0, -inf, 0
R2IKQH, G, 4, 9, -inf, 0
5V4RTP, G, 3, 0, -inf, 0
R2IKQH, R, 4, 0, -inf, 0
5V4RTP, G, 3, 0, -inf, 0
U7XFL2, R, 4, 0, -inf, 0
5V4RTP, G, 3, 0, -inf, 0
W2IIS3, B, 4, 3, -inf, 0
5V4RTP, G, 3, 0, -inf, 0
W2IIS3, G, 4, 9, -inf, 0
5V4RTP, G, 3, 0, -inf, 0
WPO8UN, B, 4, 3, -inf, 0
5V4RTP, G, 3, 0, -inf, 0
WPO8UN, R, 4, 0, -inf, 0
5V4RTP, G, 3, 0, -inf, 0
Y9PHLU, G, 4, 9, -inf, 0
5V4RTP, G, 3, 0, -inf, 0
Z7J3WM, B, 4, 3, -inf, 0
5V4RTP, G, 3, 0, -inf, 0
Z7J3WM, R, 4, 0, -inf, 0
5V4RTP, G, 3, 0, -inf, 0
5ARP8X, B, 2, 0, 0, inf
5V4RTP, R, 3, inf, 0, inf
FN6FXI, R, 4, -3, 0, inf
5V4RTP, R, 3, -3, 0, inf
5ARP8X, B, 2, 0, 0, inf
FN6FXI, R, 3, inf, 0, inf
5V4RTP, G, 4, 6, 0, inf
FN6FXI, R, 3, 6, 0, 6
5V4RTP, R, 4, -3, 0, 6
FN6FXI, R, 3, -3, 0, 6
5ARP8X, B, 2, 0, 0, inf
FVHX54, B, 3, inf, 0, inf
05Z10J, G, 4, 0, 0, inf
FVHX54, B, 3, 0, 0, inf
5ARP8X, B, 2, 0, 0, inf
FVHX54, G, 3, inf, 0, inf
05Z10J, B, 4, 3, 0, inf
FVHX54, G, 3, 3, 0, 3
05Z10J, R, 4, 0, 0, 3
FVHX54, G, 3, 0, 0, 3
5ARP8X, B, 2, 0, 0, inf
JPKJGU, R, 3, inf, 0, inf
5V4RTP, G, 4, 6, 0, inf
JPKJGU, R, 3, 6, 0, 6
5V4RTP, R, 4, -3, 0, 6
JPKJGU, R, 3, -3, 0, 6
5ARP8X, B, 2, 0, 0, inf
KV5GZ0, R, 3, inf, 0, inf
5V4RTP, G, 4, 6, 0, inf
KV5GZ0, R, 3, 6, 0, 6
5V4RTP, R, 4, -3, 0, 6
KV5GZ0, R, 3, -3, 0, 6
5ARP8X, B, 2, 0, 0, inf
PAFB9P, B, 3, inf, 0, inf
05Z10J, G, 4, 0, 0, inf
PAFB9P, B, 3, 0, 0, inf
5ARP8X, B, 2, 0, 0, inf
PAFB9P, G, 3, inf, 0, inf
05Z10J, B, 4, 3, 0, inf
PAFB9P, G, 3, 3, 0, 3
05Z10J, R, 4, 0, 0, 3
PAFB9P, G, 3, 0, 0, 3
5ARP8X, B, 2, 0, 0, inf
PEU7VW, B, 3, inf, 0, inf
5V4RTP, G, 4, 0, 0, inf
PEU7VW, B, 3, 0, 0, inf
5ARP8X, B, 2, 0, 0, inf
R2IKQH, G, 3, inf, 0, inf
05Z10J, B, 4, 3, 0, inf
R2IKQH, G, 3, 3, 0, 3
05Z10J, R, 4, 0, 0, 3
R2IKQH, G, 3, 0, 0, 3
5ARP8X, B, 2, 0, 0, inf
R2IKQH, R, 3, inf, 0, inf
05Z10J, B, 4, 0, 0, inf
R2IKQH, R, 3, 0, 0, inf
5ARP8X, B, 2, 0, 0, inf
U7XFL2, R, 3, inf, 0, inf
5V4RTP, G, 4, 6, 0, inf
U7XFL2, R, 3, 6, 0, 6
5V4RTP, R, 4, -3, 0, 6
U7XFL2, R, 3, -3, 0, 6
5ARP8X, B, 2, 0, 0, inf
W2IIS3, B, 3, inf, 0, inf
5V4RTP, G, 4, 0, 0, inf
W2IIS3, B, 3, 0, 0, inf
5ARP8X, B, 2, 0, 0, inf
W2IIS3, G, 3, inf, 0, inf
5V4RTP, G, 4, 9, 0, inf
W2IIS3, G, 3, 9, 0, 9
5V4RTP, R, 4, 0, 0, 9
W2IIS3, G, 3, 0, 0, 9
5ARP8X, B, 2, 0, 0, inf
Y9PHLU, G, 3, inf, 0, inf
5V4RTP, G, 4, 9, 0, inf
Y9PHLU, G, 3, 9, 0, 9
5V4RTP, R, 4, 0, 0, 9
Y9PHLU, G, 3, 0, 0, 9
5ARP8X, B, 2, 0, 0, inf
572PSY, B, 1, 0, -inf, 0
5ARP8X, G, 2, -inf, -inf, 0
5V4RTP, G, 3, inf, -inf, 0
FN6FXI, B, 4, 9, -inf, 0
5V4RTP, G, 3, 9, -inf, 0
FN6FXI, R, 4, 6, -inf, 0
5V4RTP, G, 3, 6, -inf, 0
FVHX54, B, 4, 9, -inf, 0
5V4RTP, G, 3, 6, -inf, 0
FVHX54, G, 4, 15, -inf, 0
5V4RTP, G, 3, 6, -inf, 0
JPKJGU, B, 4, 9, -inf, 0
5V4RTP, G, 3, 6, -inf, 0
JPKJGU, R, 4, 6, -inf, 0
5V4RTP, G, 3, 6, -inf, 0
KV5GZ0, R, 4, 6, -inf, 0
5V4RTP, G, 3, 6, -inf, 0
PAFB9P, B, 4, 9, -inf, 0
5V4RTP, G, 3, 6, -inf, 0
PAFB9P, G, 4, 15, -inf, 0
5V4RTP, G, 3, 6, -inf, 0
PEU7VW, B, 4, 9, -inf, 0
5V4RTP, G, 3, 6, -inf, 0
R2IKQH, G, 4, 15, -inf, 0
5V4RTP, G, 3, 6, -inf, 0
R2IKQH, R, 4, 6, -inf, 0
5V4RTP, G, 3, 6, -inf, 0
U7XFL2, R, 4, 6, -inf, 0
5V4RTP, G, 3, 6, -inf, 0
W2IIS3, B, 4, 9, -inf, 0
5V4RTP, G, 3, 6, -inf, 0
W2IIS3, G, 4, 15, -inf, 0
5V4RTP, G, 3, 6, -inf, 0
WPO8UN, B, 4, 9, -inf, 0
5V4RTP, G, 3, 6, -inf, 0
WPO8UN, R, 4, 6, -inf, 0
5V4RTP, G, 3, 6, -inf, 0
Z7J3WM, B, 4, 9, -inf, 0
5V4RTP, G, 3, 6, -inf, 0
Z7J3WM, R, 4, 6, -inf, 0
5V4RTP, G, 3, 6, -inf, 0
5ARP8X, G, 2, 6, -inf, 0
572PSY, B, 1, 0, -inf, 0
5V4RTP, G, 2, -inf, -inf, 0
5ARP8X, B, 3, inf, -inf, 0
FN6FXI, R, 4, -3, -inf, 0
5ARP8X, B, 3, -3, -inf, -3
FVHX54, B, 4, 0, -inf, -3
5ARP8X, B, 3, -3, -inf, -3
FVHX54, G, 4, 6, -inf, -3
5ARP8X, B, 3, -3, -inf, -3
JPKJGU, R, 4, -3, -inf, -3
5ARP8X, B, 3, -3, -inf, -3
KV5GZ0, R, 4, -3, -inf, -3
5ARP8X, B, 3, -3, -inf, -3
PAFB9P, B, 4, 0, -inf, -3
5ARP8X, B, 3, -3, -inf, -3
PAFB9P, G, 4, 6, -inf, -3
5ARP8X, B, 3, -3, -inf, -3
PEU7VW, B, 4, 0, -inf, -3
5ARP8X, B, 3, -3, -inf, -3
R2IKQH, G, 4, 6, -inf, -3
5ARP8X, B, 3, -3, -inf, -3
R2IKQH, R, 4, -3, -inf, -3
5ARP8X, B, 3, -3, -inf, -3
U7XFL2, R, 4, -3, -inf, -3
5ARP8X, B, 3, -3, -inf, -3
W2IIS3, B, 4, 0, -inf, -3
5ARP8X, B, 3, -3, -inf, -3
W2IIS3, G, 4, 6, -inf, -3
5ARP8X, B, 3, -3, -inf, -3
WPO8UN, B, 4, 0, -inf, -3
5ARP8X, B, 3, -3, -inf, -3
WPO8UN, R, 4, -3, -inf, -3
5ARP8X, B, 3, -3, -inf, -3
Y9PHLU, G, 4, 6, -inf, -3
5ARP8X, B, 3, -3, -inf, -3
Z7J3WM, B, 4, 0, -inf, -3
5ARP8X, B, 3, -3, -inf, -3
Z7J3WM, R, 4, -3, -inf, -3
5ARP8X, B, 3, -3, -inf, -3
5V4RTP, G, 2, -3, -3, 0
5ARP8X, G, 3, inf, -3, 0
FN6FXI, B, 4, 9, -3, 0
5ARP8X, G, 3, 9, -3, 0
FN6FXI, R, 4, 6, -3, 0
5ARP8X, G, 3, 6, -3, 0
FVHX54, B, 4, 9, -3, 0
5ARP8X, G, 3, 6, -3, 0
FVHX54, G, 4, 15, -3, 0
5ARP8X, G, 3, 6, -3, 0
JPKJGU, B, 4, 9, -3, 0
5ARP8X, G, 3, 6, -3, 0
JPKJGU, R, 4, 6, -3, 0
5ARP8X, G, 3, 6, -3, 0
KV5GZ0, R, 4, 6, -3, 0
5ARP8X, G, 3, 6, -3, 0
PAFB9P, B, 4, 9, -3, 0
