KUYM3Y, G, 0, -inf, -inf, inf
2AY9YS, B, 1, inf, -inf, inf
22W1C5, G, 2, -inf, -inf, inf
2GHZTF, B, 3, inf, -inf, inf
30DSPS, B, 4, -20, -inf, inf
2GHZTF, B, 3, -20, -inf, -20
30DSPS, Y, 4, -7, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
6K840Q, B, 4, -20, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
6K840Q, R, 4, -12, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
6K840Q, Y, 4, -7, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
6XH3K1, B, 4, -20, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
6XH3K1, R, 4, -12, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
6XH3K1, Y, 4, -7, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
6ZM12O, B, 4, -20, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
6ZM12O, R, 4, -12, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
6ZM12O, Y, 4, -7, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
C39D99, R, 4, -12, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
C39D99, Y, 4, -7, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
EL8JS0, R, 4, -12, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
EL8JS0, Y, 4, -7, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
HBDDYU, Y, 4, -7, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
I9LKSJ, R, 4, -12, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
I9LKSJ, Y, 4, -7, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
JKLOC9, R, 4, -12, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
JKLOC9, Y, 4, -7, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
OT8A4P, B, 4, -20, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
OT8A4P, R, 4, -12, -inf, -20
2GHZTF, B, 3, -20, -inf, -20
OT8A4P, Y, 4, -7, -inf, -20
