L8932D, G, 0, -inf, -inf, inf
3L50AP, B, 1, inf, -inf, inf
6IMA8N, B, 2, -inf, -inf, inf
0B2N9S, G, 3, inf, -inf, inf
1DYO95, B, 4, -14, -inf, inf
0B2N9S, G, 3, -14, -inf, -14
1DYO95, R, 4, -9, -inf, -14
0B2N9S, G, 3, -14, -inf, -14
1DYO95, Y, 4, -4, -inf, -14
0B2N9S, G, 3, -14, -inf, -14
HV4TQ9, G, 4, -14, -inf, -14
0B2N9S, G, 3, -14, -inf, -14
HV4TQ9, R, 4, -9, -inf, -14
0B2N9S, G, 3, -14, -inf, -14
HV4TQ9, Y, 4, -4, -inf, -14
0B2N9S, G, 3, -14, -inf, -14
LJAITB, B, 4, -14, -inf, -14
0B2N9S, G, 3, -14, -inf, -14
LJAITB, R, 4, -9, -inf, -14
0B2N9S, G, 3, -14, -inf, -14
LJAITB, Y, 4, -4, -inf, -14
0B2N9S, G, 3, -14, -inf, -14
PXLMGH, B, 4, -14, -inf, -14
0B2N9S, G, 3, -14, -inf, -14
PXLMGH, R, 4, -9, -inf, -14
0B2N9S, G, 3, -14, -inf, -14
PXLMGH, Y, 4, -4, -inf, -14
0B2N9S, G, 3, -14, -inf, -14
QV005E, B, 4, -14, -inf, -14
0B2N9S, G, 3, -14, -inf, -14
QV005E, R, 4, -9, -inf, -14
0B2N9S, G, 3, -14, -inf, -14
QV005E, Y, 4, -4, -inf, -14
0B2N9S, G, 3, -14, -inf, -14
U6RZ2U, B, 4, -14, -inf, -14
0B2N9S, G, 3, -14, -inf, -14
U6RZ2U, R, 4, -9, -inf, -14
0B2N9S, G, 3, -14, -inf, -14
U6RZ2U, Y, 4, -4, -inf, -14
0B2N9S, G, 3, -14, -inf, -14
WR7MPQ, G, 4, -14, -inf, -14
0B2N9S, G, 3, -14, -inf, -14
WR7MPQ, R, 4, -9, -inf, -14
0B2N9S, G, 3, -14, -inf, -14
WR7MPQ, Y, 4, -4, -inf, -14
0B2N9S, G, 3, -14, -inf, -14
6IMA8N, B, 2, -14, -14, inf
0B2N9S, R, 3, inf, -14, inf
1DYO95, B, 4, -8, -14, inf
0B2N9S, R, 3, -8, -14, -8
1DYO95, G, 4, -8, -14, -8
0B2N9S, R, 3, -8, -14, -8
1DYO95, Y, 4, 2, -14, -8
0B2N9S, R, 3, -8, -14, -8
HV4TQ9, G, 4, -8, -14, -8
0B2N9S, R, 3, -8, -14, -8
HV4TQ9, R, 4, -3, -14, -8
0B2N9S, R, 3, -8, -14, -8
HV4TQ9, Y, 4, 2, -14, -8
0B2N9S, R, 3, -8, -14, -8
LJAITB, B, 4, -8, -14, -8
0B2N9S, R, 3, -8, -14, -8
LJAITB, G, 4, -8, -14, -8
0B2N9S, R, 3, -8, -14, -8
LJAITB, Y, 4, 2, -14, -8
0B2N9S, R, 3, -8, -14, -8
PXLMGH, B, 4, -8, -14, -8
0B2N9S, R, 3, -8, -14, -8
PXLMGH, R, 4, -3, -14, -8
0B2N9S, R, 3, -8, -14, -8
PXLMGH, Y, 4, 2, -14, -8
0B2N9S, R, 3, -8, -14, -8
QV005E, B, 4, -8, -14, -8
0B2N9S, R, 3, -8, -14, -8
QV005E, R, 4, -3, -14, -8
0B2N9S, R, 3, -8, -14, -8
QV005E, Y, 4, 2, -14, -8
0B2N9S, R, 3, -8, -14, -8
U6RZ2U, B, 4, -8, -14, -8
0B2N9S, R, 3, -8, -14, -8
U6RZ2U, G, 4, -8, -14, -8
0B2N9S, R, 3, -8, -14, -8
U6RZ2U, Y, 4, 2, -14, -8
0B2N9S, R, 3, -8, -14, -8
WR7MPQ, G, 4, -8, -14, -8
0B2N9S, R, 3, -8, -14, -8
WR7MPQ, R, 4, -3, -14, -8
0B2N9S, R, 3, -8, -14, -8
WR7MPQ, Y, 4, 2, -14, -8
0B2N9S, R, 3, -8, -14, -8
6IMA8N, B, 2, -8, -8, inf
0B2N9S, Y, 3, inf, -8, inf
1DYO95, B, 4, -1, -8, inf
0B2N9S, Y, 3, -1, -8, -1
1DYO95, G, 4, -1, -8, -1
0B2N9S, Y, 3, -1, -8, -1
1DYO95, R, 4, 4, -8, -1
0B2N9S, Y, 3, -1, -8, -1
HV4TQ9, G, 4, -1, -8, -1
0B2N9S, Y, 3, -1, -8, -1
HV4TQ9, R, 4, 4, -8, -1
0B2N9S, Y, 3, -1, -8, -1
HV4TQ9, Y, 4, 9, -8, -1
0B2N9S, Y, 3, -1, -8, -1
LJAITB, B, 4, -1, -8, -1
0B2N9S, Y, 3, -1, -8, -1
LJAITB, G, 4, -1, -8, -1
0B2N9S, Y, 3, -1, -8, -1
LJAITB, R, 4, 4, -8, -1
0B2N9S, Y, 3, -1, -8, -1
PXLMGH, B, 4, -1, -8, -1
0B2N9S, Y, 3, -1, -8, -1
PXLMGH, R, 4, 4, -8, -1
0B2N9S, Y, 3, -1, -8, -1
PXLMGH, Y, 4, 9, -8, -1
0B2N9S, Y, 3, -1, -8, -1
QV005E, B, 4, -1, -8, -1
0B2N9S, Y, 3, -1, -8, -1
QV005E, R, 4, 4, -8, -1
0B2N9S, Y, 3, -1, -8, -1
QV005E, Y, 4, 9, -8, -1
0B2N9S, Y, 3, -1, -8, -1
U6RZ2U, B, 4, -1, -8, -1
