MD3KRQ, G, 0, -inf, -inf, inf
10X94T, B, 1, inf, -inf, inf
5E7IFX, B, 2, -inf, -inf, inf
AGKE29, G, 3, -10, -inf, inf
5E7IFX, B, 2, -10, -10, inf
AGKE29, P, 3, -10, -10, inf
5E7IFX, B, 2, -10, -10, inf
AGKE29, R, 3, -6, -10, inf
5E7IFX, B, 2, -6, -6, inf
AGKE29, Y, 3, -4, -6, inf
5E7IFX, B, 2, -4, -4, inf
DRPOSC, P, 3, -10, -4, inf
5E7IFX, B, 2, -4, -4, inf
DRPOSC, R, 3, -6, -4, inf
5E7IFX, B, 2, -4, -4, inf
DRPOSC, Y, 3, -4, -4, inf
5E7IFX, B, 2, -4, -4, inf
DWCEWT, P, 3, -10, -4, inf
5E7IFX, B, 2, -4, -4, inf
DWCEWT, R, 3, -6, -4, inf
5E7IFX, B, 2, -4, -4, inf
DWCEWT, Y, 3, -4, -4, inf
5E7IFX, B, 2, -4, -4, inf
EACUER, G, 3, -10, -4, inf
5E7IFX, B, 2, -4, -4, inf
EACUER, P, 3, -10, -4, inf
5E7IFX, B, 2, -4, -4, inf
EACUER, R, 3, -6, -4, inf
5E7IFX, B, 2, -4, -4, inf
EACUER, Y, 3, -4, -4, inf
5E7IFX, B, 2, -4, -4, inf
F5GTYF, G, 3, -10, -4, inf
5E7IFX, B, 2, -4, -4, inf
F5GTYF, P, 3, -10, -4, inf
5E7IFX, B, 2, -4, -4, inf
F5GTYF, R, 3, -6, -4, inf
5E7IFX, B, 2, -4, -4, inf
F5GTYF, Y, 3, -4, -4, inf
5E7IFX, B, 2, -4, -4, inf
FC55DO, B, 3, -7, -4, inf
5E7IFX, B, 2, -4, -4, inf
FC55DO, G, 3, -10, -4, inf
5E7IFX, B, 2, -4, -4, inf
FC55DO, P, 3, -10, -4, inf
5E7IFX, B, 2, -4, -4, inf
FC55DO, Y, 3, -4, -4, inf
5E7IFX, B, 2, -4, -4, inf
FXFIH0, G, 3, -10, -4, inf
5E7IFX, B, 2, -4, -4, inf
FXFIH0, P, 3, -10, -4, inf
5E7IFX, B, 2, -4, -4, inf
FXFIH0, Y, 3, -4, -4, inf
5E7IFX, B, 2, -4, -4, inf
LSMH8T, G, 3, -10, -4, inf
5E7IFX, B, 2, -4, -4, inf
LSMH8T, P, 3, -10, -4, inf
5E7IFX, B, 2, -4, -4, inf
LSMH8T, R, 3, -6, -4, inf
5E7IFX, B, 2, -4, -4, inf
LSMH8T, Y, 3, -4, -4, inf
5E7IFX, B, 2, -4, -4, inf
R109DH, P, 3, -10, -4, inf
5E7IFX, B, 2, -4, -4, inf
R109DH, R, 3, -6, -4, inf
5E7IFX, B, 2, -4, -4, inf
R109DH, Y, 3, -4, -4, inf
5E7IFX, B, 2, -4, -4, inf
Z9Q7SV, G, 3, -10, -4, inf
5E7IFX, B, 2, -4, -4, inf
Z9Q7SV, P, 3, -10, -4, inf
5E7IFX, B, 2, -4, -4, inf
Z9Q7SV, R, 3, -6, -4, inf
5E7IFX, B, 2, -4, -4, inf
Z9Q7SV, Y, 3, -4, -4, inf
5E7IFX, B, 2, -4, -4, inf
ZE3HTR, B, 3, -7, -4, inf
5E7IFX, B, 2, -4, -4, inf
ZE3HTR, G, 3, -10, -4, inf
5E7IFX, B, 2, -4, -4, inf
ZE3HTR, P, 3, -10, -4, inf
5E7IFX, B, 2, -4, -4, inf
ZE3HTR, Y, 3, -4, -4, inf
5E7IFX, B, 2, -4, -4, inf
10X94T, B, 1, -4, -inf, -4
5E7IFX, P, 2, -inf, -inf, -4
AGKE29, B, 3, -7, -inf, -4
5E7IFX, P, 2, -7, -7, -4
AGKE29, G, 3, -10, -7, -4
5E7IFX, P, 2, -7, -7, -4
AGKE29, R, 3, -6, -7, -4
5E7IFX, P, 2, -6, -6, -4
AGKE29, Y, 3, -4, -6, -4
5E7IFX, P, 2, -4, -6, -4
10X94T, B, 1, -4, -inf, -4
5E7IFX, R, 2, -inf, -inf, -4
AGKE29, B, 3, -5, -inf, -4
5E7IFX, R, 2, -5, -5, -4
AGKE29, G, 3, -8, -5, -4
5E7IFX, R, 2, -5, -5, -4
AGKE29, P, 3, -8, -5, -4
5E7IFX, R, 2, -5, -5, -4
AGKE29, Y, 3, -2, -5, -4
5E7IFX, R, 2, -2, -5, -4
10X94T, B, 1, -4, -inf, -4
5E7IFX, Y, 2, -inf, -inf, -4
AGKE29, B, 3, -9, -inf, -4
5E7IFX, Y, 2, -9, -9, -4
AGKE29, G, 3, -12, -9, -4
5E7IFX, Y, 2, -9, -9, -4
AGKE29, P, 3, -12, -9, -4
5E7IFX, Y, 2, -9, -9, -4
AGKE29, R, 3, -8, -9, -4
5E7IFX, Y, 2, -8, -8, -4
DRPOSC, P, 3, -12, -8, -4
5E7IFX, Y, 2, -8, -8, -4
DRPOSC, R, 3, -8, -8, -4
5E7IFX, Y, 2, -8, -8, -4
DRPOSC, Y, 3, -6, -8, -4
5E7IFX, Y, 2, -6, -6, -4
DWCEWT, B, 3, -9, -6, -4
5E7IFX, Y, 2, -6, -6, -4
DWCEWT, P, 3, -12, -6, -4
5E7IFX, Y, 2, -6, -6, -4
DWCEWT, R, 3, -8, -6, -4
5E7IFX, Y, 2, -6, -6, -4
EACUER, B, 3, -9, -6, -4
5E7IFX, Y, 2, -6, -6, -4
EACUER, G, 3, -12, -6, -4
5E7IFX, Y, 2, -6, -6, -4
EACUER, P, 3, -12, -6, -4
5E7IFX, Y, 2, -6, -6, -4
EACUER, R, 3, -8, -6, -4
5E7IFX, Y, 2, -6, -6, -4
F5GTYF, G, 3, -12, -6, -4
5E7IFX, Y, 2, -6, -6, -4
F5GTYF, P, 3, -12, -6, -4
5E7IFX, Y, 2, -6, -6, -4
F5GTYF, R, 3, -8, -6, -4
5E7IFX, Y, 2, -6, -6, -4
F5GTYF, Y, 3, -6, -6, -4
5E7IFX, Y, 2, -6, -6, -4
FC55DO, B, 3, -9, -6, -4
5E7IFX, Y, 2, -6, -6, -4
FC55DO, G, 3, -12, -6, -4
5E7IFX, Y, 2, -6, -6, -4
FC55DO, P, 3, -12, -6, -4
5E7IFX, Y, 2, -6, -6, -4
FC55DO, Y, 3, -6, -6, -4
5E7IFX, Y, 2, -6, -6, -4
FXFIH0, G, 3, -12, -6, -4
5E7IFX, Y, 2, -6, -6, -4
FXFIH0, P, 3, -12, -6, -4
5E7IFX, Y, 2, -6, -6, -4
FXFIH0, Y, 3, -6, -6, -4
5E7IFX, Y, 2, -6, -6, -4
LSMH8T, G, 3, -12, -6, -4
5E7IFX, Y, 2, -6, -6, -4
LSMH8T, P, 3, -12, -6, -4
5E7IFX, Y, 2, -6, -6, -4
LSMH8T, R, 3, -8, -6, -4
5E7IFX, Y, 2, -6, -6, -4
LSMH8T, Y, 3, -6, -6, -4
5E7IFX, Y, 2, -6, -6, -4
R109DH, P, 3, -12, -6, -4
5E7IFX, Y, 2, -6, -6, -4
R109DH, R, 3, -8, -6, -4
5E7IFX, Y, 2, -6, -6, -4
R109DH, Y, 3, -6, -6, -4
5E7IFX, Y, 2, -6, -6, -4
Z9Q7SV, B, 3, -9, -6, -4
5E7IFX, Y, 2, -6, -6, -4
Z9Q7SV, G, 3, -12, -6, -4
5E7IFX, Y, 2, -6, -6, -4
Z9Q7SV, P, 3, -12, -6, -4
5E7IFX, Y, 2, -6, -6, -4
Z9Q7SV, R, 3, -8, -6, -4
5E7IFX, Y, 2, -6, -6, -4
ZE3HTR, B, 3, -9, -6, -4
5E7IFX, Y, 2, -6, -6, -4
ZE3HTR, G, 3, -12, -6, -4
5E7IFX, Y, 2, -6, -6, -4
ZE3HTR, P, 3, -12, -6, -4
5E7IFX, Y, 2, -6, -6, -4
ZE3HTR, Y, 3, -6, -6, -4
5E7IFX, Y, 2, -6, -6, -4
10X94T, B, 1, -6, -inf, -6
DRPOSC, P, 2, -inf, -inf, -6
5E7IFX, B, 3, -7, -inf, -6
DRPOSC, P, 2, -7, -7, -6
5E7IFX, P, 3, -10, -7, -6
DRPOSC, P, 2, -7, -7, -6
5E7IFX, R, 3, -6, -7, -6
DRPOSC, P, 2, -6, -7, -6
10X94T, B, 1, -6, -inf, -6
DRPOSC, R, 2, -inf, -inf, -6
5E7IFX, B, 3, -5, -inf, -6
DRPOSC, R, 2, -5, -inf, -6
10X94T, B, 1, -6, -inf, -6
DRPOSC, Y, 2, -inf, -inf, -6
5E7IFX, B, 3, -9, -inf, -6
DRPOSC, Y, 2, -9, -9, -6
5E7IFX, P, 3, -12, -9, -6
DRPOSC, Y, 2, -9, -9, -6
5E7IFX, R, 3, -8, -9, -6
DRPOSC, Y, 2, -8, -8, -6
5E7IFX, Y, 3, -6, -8, -6
DRPOSC, Y, 2, -6, -8, -6
10X94T, B, 1, -6, -inf, -6
DWCEWT, B, 2, -inf, -inf, -6
5E7IFX, P, 3, -10, -inf, -6
DWCEWT, B, 2, -10, -10, -6
5E7IFX, R, 3, -6, -10, -6
DWCEWT, B, 2, -6, -10, -6
10X94T, B, 1, -6, -inf, -6
DWCEWT, P, 2, -inf, -inf, -6
5E7IFX, B, 3, -7, -inf, -6
DWCEWT, P, 2, -7, -7, -6
5E7IFX, R, 3, -6, -7, -6
DWCEWT, P, 2, -6, -7, -6
10X94T, B, 1, -6, -inf, -6
DWCEWT, R, 2, -inf, -inf, -6
5E7IFX, B, 3, -5, -inf, -6
DWCEWT, R, 2, -5, -inf, -6
10X94T, B, 1, -6, -inf, -6
DWCEWT, Y, 2, -inf, -inf, -6
5E7IFX, B, 3, -9, -inf, -6
DWCEWT, Y, 2, -9, -9, -6
5E7IFX, P, 3, -12, -9, -6
DWCEWT, Y, 2, -9, -9, -6
5E7IFX, R, 3, -8, -9, -6
DWCEWT, Y, 2, -8, -8, -6
DRPOSC, P, 3, -12, -8, -6
DWCEWT, Y, 2, -8, -8, -6
DRPOSC, R, 3, -8, -8, -6
DWCEWT, Y, 2, -8, -8, -6
DRPOSC, Y, 3, -6, -8, -6
DWCEWT, Y, 2, -6, -8, -6
10X94T, B, 1, -6, -inf, -6
F5GTYF, G, 2, -inf, -inf, -6
5E7IFX, B, 3, -9, -inf, -6
F5GTYF, G, 2, -9, -9, -6
5E7IFX, P, 3, -12, -9, -6
F5GTYF, G, 2, -9, -9, -6
5E7IFX, R, 3, -8, -9, -6
F5GTYF, G, 2, -8, -8, -6
5E7IFX, Y, 3, -6, -8, -6
F5GTYF, G, 2, -6, -8, -6
10X94T, B, 1, -6, -inf, -6
F5GTYF, P, 2, -inf, -inf, -6
5E7IFX, B, 3, -7, -inf, -6
F5GTYF, P, 2, -7, -7, -6
5E7IFX, P, 3, -10, -7, -6
F5GTYF, P, 2, -7, -7, -6
5E7IFX, R, 3, -6, -7, -6
F5GTYF, P, 2, -6, -7, -6
10X94T, B, 1, -6, -inf, -6
F5GTYF, R, 2, -inf, -inf, -6
5E7IFX, B, 3, -5, -inf, -6
F5GTYF, R, 2, -5, -inf, -6
10X94T, B, 1, -6, -inf, -6
F5GTYF, Y, 2, -inf, -inf, -6
5E7IFX, B, 3, -9, -inf, -6
F5GTYF, Y, 2, -9, -9, -6
5E7IFX, P, 3, -12, -9, -6
F5GTYF, Y, 2, -9, -9, -6
5E7IFX, R, 3, -8, -9, -6
F5GTYF, Y, 2, -8, -8, -6
5E7IFX, Y, 3, -6, -8, -6
F5GTYF, Y, 2, -6, -8, -6
10X94T, B, 1, -6, -inf, -6
FC55DO, B, 2, -inf, -inf, -6
5E7IFX, B, 3, -7, -inf, -6
FC55DO, B, 2, -7, -7, -6
5E7IFX, P, 3, -10, -7, -6
FC55DO, B, 2, -7, -7, -6
5E7IFX, R, 3, -6, -7, -6
FC55DO, B, 2, -6, -7, -6
10X94T, B, 1, -6, -inf, -6
FC55DO, G, 2, -inf, -inf, -6
5E7IFX, B, 3, -9, -inf, -6
FC55DO, G, 2, -9, -9, -6
5E7IFX, P, 3, -12, -9, -6
FC55DO, G, 2, -9, -9, -6
5E7IFX, R, 3, -8, -9, -6
FC55DO, G, 2, -8, -8, -6
5E7IFX, Y, 3, -6, -8, -6
FC55DO, G, 2, -6, -8, -6
10X94T, B, 1, -6, -inf, -6
FC55DO, P, 2, -inf, -inf, -6
5E7IFX, B, 3, -7, -inf, -6
FC55DO, P, 2, -7, -7, -6
5E7IFX, P, 3, -10, -7, -6
FC55DO, P, 2, -7, -7, -6
5E7IFX, R, 3, -6, -7, -6
FC55DO, P, 2, -6, -7, -6
10X94T, B, 1, -6, -inf, -6
FC55DO, Y, 2, -inf, -inf, -6
5E7IFX, B, 3, -9, -inf, -6
FC55DO, Y, 2, -9, -9, -6
5E7IFX, P, 3, -12, -9, -6
FC55DO, Y, 2, -9, -9, -6
5E7IFX, R, 3, -8, -9, -6
FC55DO, Y, 2, -8, -8, -6
5E7IFX, Y, 3, -6, -8, -6
FC55DO, Y, 2, -6, -8, -6
10X94T, B, 1, -6, -inf, -6
FXFIH0, G, 2, -inf, -inf, -6
5E7IFX, B, 3, -9, -inf, -6
FXFIH0, G, 2, -9, -9, -6
5E7IFX, P, 3, -12, -9, -6
FXFIH0, G, 2, -9, -9, -6
5E7IFX, R, 3, -8, -9, -6
FXFIH0, G, 2, -8, -8, -6
5E7IFX, Y, 3, -6, -8, -6
FXFIH0, G, 2, -6, -8, -6
10X94T, B, 1, -6, -inf, -6
FXFIH0, P, 2, -inf, -inf, -6
5E7IFX, B, 3, -7, -inf, -6
FXFIH0, P, 2, -7, -7, -6
5E7IFX, P, 3, -10, -7, -6
FXFIH0, P, 2, -7, -7, -6
5E7IFX, R, 3, -6, -7, -6
FXFIH0, P, 2, -6, -7, -6
10X94T, B, 1, -6, -inf, -6
FXFIH0, Y, 2, -inf, -inf, -6
5E7IFX, B, 3, -9, -inf, -6
FXFIH0, Y, 2, -9, -9, -6
5E7IFX, P, 3, -12, -9, -6
FXFIH0, Y, 2, -9, -9, -6
5E7IFX, R, 3, -8, -9, -6
FXFIH0, Y, 2, -8, -8, -6
5E7IFX, Y, 3, -6, -8, -6
FXFIH0, Y, 2, -6, -8, -6
10X94T, B, 1, -6, -inf, -6
LSMH8T, G, 2, -inf, -inf, -6
5E7IFX, B, 3, -9, -inf, -6
LSMH8T, G, 2, -9, -9, -6
5E7IFX, P, 3, -12, -9, -6
LSMH8T, G, 2, -9, -9, -6
5E7IFX, R, 3, -8, -9, -6
LSMH8T, G, 2, -8, -8, -6
5E7IFX, Y, 3, -6, -8, -6
LSMH8T, G, 2, -6, -8, -6
