YACZVG, G, 0, -inf, -inf, inf
53E36Q, B, 1, inf, -inf, inf
5UN7NQ, B, 2, -inf, -inf, inf
7S1B87, G, 3, 14, -inf, inf
5UN7NQ, B, 2, 14, 14, inf
7S1B87, O, 3, 4, 14, inf
5UN7NQ, B, 2, 14, 14, inf
7S1B87, P, 3, 10, 14, inf
5UN7NQ, B, 2, 14, 14, inf
7S1B87, Y, 3, 13, 14, inf
5UN7NQ, B, 2, 14, 14, inf
9WDM4Y, G, 3, 14, 14, inf
5UN7NQ, B, 2, 14, 14, inf
9WDM4Y, O, 3, 4, 14, inf
5UN7NQ, B, 2, 14, 14, inf
9WDM4Y, P, 3, 10, 14, inf
5UN7NQ, B, 2, 14, 14, inf
9WDM4Y, R, 3, 11, 14, inf
5UN7NQ, B, 2, 14, 14, inf
9WDM4Y, Y, 3, 13, 14, inf
5UN7NQ, B, 2, 14, 14, inf
DN4ZT4, G, 3, 14, 14, inf
5UN7NQ, B, 2, 14, 14, inf
DN4ZT4, O, 3, 4, 14, inf
5UN7NQ, B, 2, 14, 14, inf
DN4ZT4, P, 3, 10, 14, inf
5UN7NQ, B, 2, 14, 14, inf
DN4ZT4, R, 3, 11, 14, inf
5UN7NQ, B, 2, 14, 14, inf
DN4ZT4, Y, 3, 13, 14, inf
5UN7NQ, B, 2, 14, 14, inf
DOR7FV, G, 3, 14, 14, inf
5UN7NQ, B, 2, 14, 14, inf
DOR7FV, O, 3, 4, 14, inf
5UN7NQ, B, 2, 14, 14, inf
DOR7FV, P, 3, 10, 14, inf
5UN7NQ, B, 2, 14, 14, inf
DOR7FV, R, 3, 11, 14, inf
5UN7NQ, B, 2, 14, 14, inf
DOR7FV, Y, 3, 13, 14, inf
5UN7NQ, B, 2, 14, 14, inf
GJ3EED, B, 3, 2, 14, inf
5UN7NQ, B, 2, 14, 14, inf
GJ3EED, O, 3, 4, 14, inf
5UN7NQ, B, 2, 14, 14, inf
GJ3EED, P, 3, 10, 14, inf
5UN7NQ, B, 2, 14, 14, inf
GJ3EED, R, 3, 11, 14, inf
5UN7NQ, B, 2, 14, 14, inf
GJ3EED, Y, 3, 13, 14, inf
5UN7NQ, B, 2, 14, 14, inf
K96N2Y, G, 3, 14, 14, inf
5UN7NQ, B, 2, 14, 14, inf
K96N2Y, O, 3, 4, 14, inf
5UN7NQ, B, 2, 14, 14, inf
K96N2Y, P, 3, 10, 14, inf
5UN7NQ, B, 2, 14, 14, inf
K96N2Y, R, 3, 11, 14, inf
5UN7NQ, B, 2, 14, 14, inf
K96N2Y, Y, 3, 13, 14, inf
5UN7NQ, B, 2, 14, 14, inf
PGPUEO, G, 3, 14, 14, inf
5UN7NQ, B, 2, 14, 14, inf
PGPUEO, O, 3, 4, 14, inf
5UN7NQ, B, 2, 14, 14, inf
PGPUEO, P, 3, 10, 14, inf
5UN7NQ, B, 2, 14, 14, inf
PGPUEO, R, 3, 11, 14, inf
5UN7NQ, B, 2, 14, 14, inf
PGPUEO, Y, 3, 13, 14, inf
5UN7NQ, B, 2, 14, 14, inf
S7YAGD, G, 3, 14, 14, inf
5UN7NQ, B, 2, 14, 14, inf
S7YAGD, O, 3, 4, 14, inf
5UN7NQ, B, 2, 14, 14, inf
S7YAGD, P, 3, 10, 14, inf
5UN7NQ, B, 2, 14, 14, inf
S7YAGD, R, 3, 11, 14, inf
5UN7NQ, B, 2, 14, 14, inf
S7YAGD, Y, 3, 13, 14, inf
5UN7NQ, B, 2, 14, 14, inf
UQ952K, G, 3, 14, 14, inf
5UN7NQ, B, 2, 14, 14, inf
UQ952K, O, 3, 4, 14, inf
5UN7NQ, B, 2, 14, 14, inf
UQ952K, P, 3, 10, 14, inf
5UN7NQ, B, 2, 14, 14, inf
UQ952K, R, 3, 11, 14, inf
5UN7NQ, B, 2, 14, 14, inf
UQ952K, Y, 3, 13, 14, inf
5UN7NQ, B, 2, 14, 14, inf
WIW6DO, G, 3, 14, 14, inf
5UN7NQ, B, 2, 14, 14, inf
WIW6DO, O, 3, 4, 14, inf
5UN7NQ, B, 2, 14, 14, inf
WIW6DO, P, 3, 10, 14, inf
5UN7NQ, B, 2, 14, 14, inf
WIW6DO, R, 3, 11, 14, inf
5UN7NQ, B, 2, 14, 14, inf
WIW6DO, Y, 3, 13, 14, inf
5UN7NQ, B, 2, 14, 14, inf
WZ4BWG, G, 3, 14, 14, inf
5UN7NQ, B, 2, 14, 14, inf
WZ4BWG, O, 3, 4, 14, inf
5UN7NQ, B, 2, 14, 14, inf
WZ4BWG, P, 3, 10, 14, inf
5UN7NQ, B, 2, 14, 14, inf
WZ4BWG, R, 3, 11, 14, inf
5UN7NQ, B, 2, 14, 14, inf
WZ4BWG, Y, 3, 13, 14, inf
5UN7NQ, B, 2, 14, 14, inf
53E36Q, B, 1, 14, -inf, 14
5UN7NQ, O, 2, -inf, -inf, 14
7S1B87, G, 3, 7, -inf, 14
5UN7NQ, O, 2, 7, 7, 14
7S1B87, P, 3, 3, 7, 14
5UN7NQ, O, 2, 7, 7, 14
7S1B87, Y, 3, 6, 7, 14
5UN7NQ, O, 2, 7, 7, 14
9WDM4Y, B, 3, -5, 7, 14
5UN7NQ, O, 2, 7, 7, 14
9WDM4Y, G, 3, 7, 7, 14
5UN7NQ, O, 2, 7, 7, 14
9WDM4Y, P, 3, 3, 7, 14
5UN7NQ, O, 2, 7, 7, 14
9WDM4Y, R, 3, 4, 7, 14
5UN7NQ, O, 2, 7, 7, 14
9WDM4Y, Y, 3, 6, 7, 14
5UN7NQ, O, 2, 7, 7, 14
DN4ZT4, B, 3, -5, 7, 14
5UN7NQ, O, 2, 7, 7, 14
DN4ZT4, G, 3, 7, 7, 14
5UN7NQ, O, 2, 7, 7, 14
DN4ZT4, P, 3, 3, 7, 14
5UN7NQ, O, 2, 7, 7, 14
DN4ZT4, R, 3, 4, 7, 14
5UN7NQ, O, 2, 7, 7, 14
DN4ZT4, Y, 3, 6, 7, 14
5UN7NQ, O, 2, 7, 7, 14
DOR7FV, G, 3, 7, 7, 14
5UN7NQ, O, 2, 7, 7, 14
DOR7FV, O, 3, -3, 7, 14
5UN7NQ, O, 2, 7, 7, 14
DOR7FV, P, 3, 3, 7, 14
5UN7NQ, O, 2, 7, 7, 14
DOR7FV, R, 3, 4, 7, 14
5UN7NQ, O, 2, 7, 7, 14
DOR7FV, Y, 3, 6, 7, 14
5UN7NQ, O, 2, 7, 7, 14
GJ3EED, B, 3, -5, 7, 14
5UN7NQ, O, 2, 7, 7, 14
GJ3EED, O, 3, -3, 7, 14
5UN7NQ, O, 2, 7, 7, 14
GJ3EED, P, 3, 3, 7, 14
5UN7NQ, O, 2, 7, 7, 14
GJ3EED, R, 3, 4, 7, 14
5UN7NQ, O, 2, 7, 7, 14
GJ3EED, Y, 3, 6, 7, 14
5UN7NQ, O, 2, 7, 7, 14
K96N2Y, G, 3, 7, 7, 14
5UN7NQ, O, 2, 7, 7, 14
K96N2Y, O, 3, -3, 7, 14
5UN7NQ, O, 2, 7, 7, 14
K96N2Y, P, 3, 3, 7, 14
5UN7NQ, O, 2, 7, 7, 14
K96N2Y, R, 3, 4, 7, 14
5UN7NQ, O, 2, 7, 7, 14
K96N2Y, Y, 3, 6, 7, 14
5UN7NQ, O, 2, 7, 7, 14
PGPUEO, G, 3, 7, 7, 14
5UN7NQ, O, 2, 7, 7, 14
PGPUEO, P, 3, 3, 7, 14
5UN7NQ, O, 2, 7, 7, 14
PGPUEO, R, 3, 4, 7, 14
5UN7NQ, O, 2, 7, 7, 14
PGPUEO, Y, 3, 6, 7, 14
5UN7NQ, O, 2, 7, 7, 14
S7YAGD, G, 3, 7, 7, 14
5UN7NQ, O, 2, 7, 7, 14
S7YAGD, O, 3, -3, 7, 14
5UN7NQ, O, 2, 7, 7, 14
S7YAGD, P, 3, 3, 7, 14
5UN7NQ, O, 2, 7, 7, 14
S7YAGD, R, 3, 4, 7, 14
5UN7NQ, O, 2, 7, 7, 14
S7YAGD, Y, 3, 6, 7, 14
5UN7NQ, O, 2, 7, 7, 14
UQ952K, G, 3, 7, 7, 14
5UN7NQ, O, 2, 7, 7, 14
UQ952K, O, 3, -3, 7, 14
5UN7NQ, O, 2, 7, 7, 14
UQ952K, P, 3, 3, 7, 14
5UN7NQ, O, 2, 7, 7, 14
UQ952K, R, 3, 4, 7, 14
5UN7NQ, O, 2, 7, 7, 14
UQ952K, Y, 3, 6, 7, 14
5UN7NQ, O, 2, 7, 7, 14
WIW6DO, G, 3, 7, 7, 14
5UN7NQ, O, 2, 7, 7, 14
WIW6DO, O, 3, -3, 7, 14
5UN7NQ, O, 2, 7, 7, 14
WIW6DO, P, 3, 3, 7, 14
5UN7NQ, O, 2, 7, 7, 14
WIW6DO, R, 3, 4, 7, 14
5UN7NQ, O, 2, 7, 7, 14
WIW6DO, Y, 3, 6, 7, 14
5UN7NQ, O, 2, 7, 7, 14
WZ4BWG, B, 3, -5, 7, 14
5UN7NQ, O, 2, 7, 7, 14
WZ4BWG, G, 3, 7, 7, 14
5UN7NQ, O, 2, 7, 7, 14
WZ4BWG, P, 3, 3, 7, 14
5UN7NQ, O, 2, 7, 7, 14
WZ4BWG, R, 3, 4, 7, 14
