MXFI3W, G, 0, -inf, -inf, inf
15RP8U, B, 1, inf, -inf, inf
CU7BOC, G, 2, -inf, -inf, inf
9YZSQ5, B, 3, inf, -inf, inf
C6RXPH, B, 4, 1, -inf, inf
9YZSQ5, B, 3, 1, -inf, 1
C6RXPH, R, 4, 0, -inf, 1
9YZSQ5, B, 3, 0, -inf, 0
DDQ3KD, B, 4, 1, -inf, 0
9YZSQ5, B, 3, 0, -inf, 0
FOQ0EN, B, 4, 1, -inf, 0
9YZSQ5, B, 3, 0, -inf, 0
FOQ0EN, R, 4, 0, -inf, 0
9YZSQ5, B, 3, 0, -inf, 0
HOKRCB, G, 4, -11, -inf, 0
9YZSQ5, B, 3, -11, -inf, -11
HOKRCB, R, 4, 0, -inf, -11
9YZSQ5, B, 3, -11, -inf, -11
I7NJQU, G, 4, -11, -inf, -11
9YZSQ5, B, 3, -11, -inf, -11
I7NJQU, R, 4, 0, -inf, -11
9YZSQ5, B, 3, -11, -inf, -11
LHSFBP, G, 4, -11, -inf, -11
9YZSQ5, B, 3, -11, -inf, -11
LHSFBP, R, 4, 0, -inf, -11
9YZSQ5, B, 3, -11, -inf, -11
N1JZCU, B, 4, 1, -inf, -11
9YZSQ5, B, 3, -11, -inf, -11
N1JZCU, R, 4, 0, -inf, -11
9YZSQ5, B, 3, -11, -inf, -11
PLUABQ, B, 4, 1, -inf, -11
9YZSQ5, B, 3, -11, -inf, -11
PLUABQ, G, 4, -11, -inf, -11
9YZSQ5, B, 3, -11, -inf, -11
QZ8R48, G, 4, -11, -inf, -11
9YZSQ5, B, 3, -11, -inf, -11
QZ8R48, R, 4, 0, -inf, -11
9YZSQ5, B, 3, -11, -inf, -11
RRCAVS, B, 4, 1, -inf, -11
9YZSQ5, B, 3, -11, -inf, -11
RRCAVS, R, 4, 0, -inf, -11
9YZSQ5, B, 3, -11, -inf, -11
U9APRV, R, 4, 0, -inf, -11
9YZSQ5, B, 3, -11, -inf, -11
XIMKGA, B, 4, 1, -inf, -11
9YZSQ5, B, 3, -11, -inf, -11
XIMKGA, R, 4, 0, -inf, -11
9YZSQ5, B, 3, -11, -inf, -11
ZJDOS9, G, 4, -11, -inf, -11
9YZSQ5, B, 3, -11, -inf, -11
ZJDOS9, R, 4, 0, -inf, -11
9YZSQ5, B, 3, -11, -inf, -11
CU7BOC, G, 2, -11, -11, inf
9YZSQ5, R, 3, inf, -11, inf
C6RXPH, B, 4, 2, -11, inf
9YZSQ5, R, 3, 2, -11, 2
C6RXPH, R, 4, 1, -11, 2
9YZSQ5, R, 3, 1, -11, 1
DDQ3KD, B, 4, 2, -11, 1
9YZSQ5, R, 3, 1, -11, 1
FOQ0EN, B, 4, 2, -11, 1
9YZSQ5, R, 3, 1, -11, 1
FOQ0EN, R, 4, 1, -11, 1
9YZSQ5, R, 3, 1, -11, 1
HOKRCB, B, 4, 2, -11, 1
9YZSQ5, R, 3, 1, -11, 1
HOKRCB, G, 4, -10, -11, 1
9YZSQ5, R, 3, -10, -11, -10
I7NJQU, G, 4, -10, -11, -10
9YZSQ5, R, 3, -10, -11, -10
I7NJQU, R, 4, 1, -11, -10
9YZSQ5, R, 3, -10, -11, -10
LHSFBP, G, 4, -10, -11, -10
9YZSQ5, R, 3, -10, -11, -10
LHSFBP, R, 4, 1, -11, -10
9YZSQ5, R, 3, -10, -11, -10
N1JZCU, B, 4, 2, -11, -10
9YZSQ5, R, 3, -10, -11, -10
N1JZCU, R, 4, 1, -11, -10
9YZSQ5, R, 3, -10, -11, -10
OQP6DR, B, 4, 2, -11, -10
9YZSQ5, R, 3, -10, -11, -10
PLUABQ, B, 4, 2, -11, -10
9YZSQ5, R, 3, -10, -11, -10
PLUABQ, G, 4, -10, -11, -10
9YZSQ5, R, 3, -10, -11, -10
QDXVF0, B, 4, 2, -11, -10
9YZSQ5, R, 3, -10, -11, -10
QZ8R48, G, 4, -10, -11, -10
9YZSQ5, R, 3, -10, -11, -10
QZ8R48, R, 4, 1, -11, -10
9YZSQ5, R, 3, -10, -11, -10
RRCAVS, B, 4, 2, -11, -10
9YZSQ5, R, 3, -10, -11, -10
RRCAVS, R, 4, 1, -11, -10
9YZSQ5, R, 3, -10, -11, -10
U9APRV, B, 4, 2, -11, -10
9YZSQ5, R, 3, -10, -11, -10
XIMKGA, B, 4, 2, -11, -10
9YZSQ5, R, 3, -10, -11, -10
XIMKGA, R, 4, 1, -11, -10
9YZSQ5, R, 3, -10, -11, -10
ZJDOS9, G, 4, -10, -11, -10
9YZSQ5, R, 3, -10, -11, -10
ZJDOS9, R, 4, 1, -11, -10
9YZSQ5, R, 3, -10, -11, -10
