I8FN8E, G, 0, -inf, -inf, inf
9V2BM8, B, 1, inf, -inf, inf
BF3WFX, B, 2, -inf, -inf, inf
2YETXH, G, 3, 3, -inf, inf
BF3WFX, B, 2, 3, 3, inf
2YETXH, O, 3, 13, 3, inf
BF3WFX, B, 2, 13, 13, inf
2YETXH, P, 3, 7, 13, inf
BF3WFX, B, 2, 13, 13, inf
2YETXH, R, 3, -1, 13, inf
BF3WFX, B, 2, 13, 13, inf
2YETXH, Y, 3, 13, 13, inf
BF3WFX, B, 2, 13, 13, inf
BOT7AR, G, 3, 3, 13, inf
BF3WFX, B, 2, 13, 13, inf
BOT7AR, O, 3, 13, 13, inf
BF3WFX, B, 2, 13, 13, inf
BOT7AR, P, 3, 7, 13, inf
BF3WFX, B, 2, 13, 13, inf
BOT7AR, Y, 3, 13, 13, inf
BF3WFX, B, 2, 13, 13, inf
EGL8DW, G, 3, 3, 13, inf
BF3WFX, B, 2, 13, 13, inf
EGL8DW, O, 3, 13, 13, inf
BF3WFX, B, 2, 13, 13, inf
EGL8DW, P, 3, 7, 13, inf
BF3WFX, B, 2, 13, 13, inf
EGL8DW, R, 3, -1, 13, inf
BF3WFX, B, 2, 13, 13, inf
EGL8DW, Y, 3, 13, 13, inf
BF3WFX, B, 2, 13, 13, inf
GVTHJO, G, 3, 3, 13, inf
BF3WFX, B, 2, 13, 13, inf
GVTHJO, O, 3, 13, 13, inf
BF3WFX, B, 2, 13, 13, inf
GVTHJO, P, 3, 7, 13, inf
BF3WFX, B, 2, 13, 13, inf
GVTHJO, R, 3, -1, 13, inf
BF3WFX, B, 2, 13, 13, inf
GVTHJO, Y, 3, 13, 13, inf
BF3WFX, B, 2, 13, 13, inf
IS7RAF, G, 3, 3, 13, inf
BF3WFX, B, 2, 13, 13, inf
IS7RAF, O, 3, 13, 13, inf
BF3WFX, B, 2, 13, 13, inf
IS7RAF, P, 3, 7, 13, inf
BF3WFX, B, 2, 13, 13, inf
IS7RAF, R, 3, -1, 13, inf
BF3WFX, B, 2, 13, 13, inf
IS7RAF, Y, 3, 13, 13, inf
BF3WFX, B, 2, 13, 13, inf
OXTP6H, G, 3, 3, 13, inf
BF3WFX, B, 2, 13, 13, inf
OXTP6H, O, 3, 13, 13, inf
BF3WFX, B, 2, 13, 13, inf
OXTP6H, P, 3, 7, 13, inf
BF3WFX, B, 2, 13, 13, inf
OXTP6H, R, 3, -1, 13, inf
BF3WFX, B, 2, 13, 13, inf
OXTP6H, Y, 3, 13, 13, inf
BF3WFX, B, 2, 13, 13, inf
TJ8ZT3, G, 3, 3, 13, inf
BF3WFX, B, 2, 13, 13, inf
TJ8ZT3, O, 3, 13, 13, inf
BF3WFX, B, 2, 13, 13, inf
TJ8ZT3, P, 3, 7, 13, inf
BF3WFX, B, 2, 13, 13, inf
TJ8ZT3, R, 3, -1, 13, inf
BF3WFX, B, 2, 13, 13, inf
TJ8ZT3, Y, 3, 13, 13, inf
BF3WFX, B, 2, 13, 13, inf
V7KIEU, B, 3, 5, 13, inf
BF3WFX, B, 2, 13, 13, inf
V7KIEU, O, 3, 13, 13, inf
BF3WFX, B, 2, 13, 13, inf
V7KIEU, P, 3, 7, 13, inf
BF3WFX, B, 2, 13, 13, inf
V7KIEU, R, 3, -1, 13, inf
BF3WFX, B, 2, 13, 13, inf
V7KIEU, Y, 3, 13, 13, inf
BF3WFX, B, 2, 13, 13, inf
W400I9, G, 3, 3, 13, inf
BF3WFX, B, 2, 13, 13, inf
W400I9, O, 3, 13, 13, inf
BF3WFX, B, 2, 13, 13, inf
W400I9, P, 3, 7, 13, inf
BF3WFX, B, 2, 13, 13, inf
W400I9, R, 3, -1, 13, inf
BF3WFX, B, 2, 13, 13, inf
W400I9, Y, 3, 13, 13, inf
BF3WFX, B, 2, 13, 13, inf
WBG1MC, G, 3, 3, 13, inf
BF3WFX, B, 2, 13, 13, inf
WBG1MC, O, 3, 13, 13, inf
BF3WFX, B, 2, 13, 13, inf
WBG1MC, P, 3, 7, 13, inf
BF3WFX, B, 2, 13, 13, inf
WBG1MC, R, 3, -1, 13, inf
BF3WFX, B, 2, 13, 13, inf
WBG1MC, Y, 3, 13, 13, inf
BF3WFX, B, 2, 13, 13, inf
9V2BM8, B, 1, 13, -inf, 13
BF3WFX, G, 2, -inf, -inf, 13
2YETXH, B, 3, 6, -inf, 13
BF3WFX, G, 2, 6, 6, 13
2YETXH, O, 3, 14, 6, 13
BF3WFX, G, 2, 14, 6, 13
9V2BM8, B, 1, 13, -inf, 13
BF3WFX, O, 2, -inf, -inf, 13
2YETXH, B, 3, 7, -inf, 13
BF3WFX, O, 2, 7, 7, 13
2YETXH, G, 3, 5, 7, 13
BF3WFX, O, 2, 7, 7, 13
2YETXH, P, 3, 9, 7, 13
BF3WFX, O, 2, 9, 9, 13
