AJAPPB, G, 0, -inf, -inf, inf
8WNJUN, B, 1, inf, -inf, inf
8CHS0C, G, 2, -inf, -inf, inf
6GS1PE, B, 3, inf, -inf, inf
6WKEGC, G, 4, 9, -inf, inf
6GS1PE, B, 3, 9, -inf, 9
6WKEGC, R, 4, 10, -inf, 9
6GS1PE, B, 3, 9, -inf, 9
IGXP2R, B, 4, 5, -inf, 9
6GS1PE, B, 3, 5, -inf, 5
IGXP2R, R, 4, 10, -inf, 5
6GS1PE, B, 3, 5, -inf, 5
LQCIWV, B, 4, 5, -inf, 5
6GS1PE, B, 3, 5, -inf, 5
LQCIWV, R, 4, 10, -inf, 5
6GS1PE, B, 3, 5, -inf, 5
MMHWXR, R, 4, 10, -inf, 5
6GS1PE, B, 3, 5, -inf, 5
NPJF3V, R, 4, 10, -inf, 5
6GS1PE, B, 3, 5, -inf, 5
QNJ9R5, B, 4, 5, -inf, 5
6GS1PE, B, 3, 5, -inf, 5
QNJ9R5, R, 4, 10, -inf, 5
6GS1PE, B, 3, 5, -inf, 5
TZQJJE, B, 4, 5, -inf, 5
6GS1PE, B, 3, 5, -inf, 5
TZQJJE, R, 4, 10, -inf, 5
6GS1PE, B, 3, 5, -inf, 5
VBYL0E, B, 4, 5, -inf, 5
6GS1PE, B, 3, 5, -inf, 5
VBYL0E, R, 4, 10, -inf, 5
6GS1PE, B, 3, 5, -inf, 5
Z21EX8, B, 4, 5, -inf, 5
6GS1PE, B, 3, 5, -inf, 5
Z21EX8, R, 4, 10, -inf, 5
6GS1PE, B, 3, 5, -inf, 5
8CHS0C, G, 2, 5, 5, inf
6GS1PE, R, 3, inf, 5, inf
6WKEGC, B, 4, 17, 5, inf
6GS1PE, R, 3, 17, 5, 17
6WKEGC, G, 4, 21, 5, 17
6GS1PE, R, 3, 17, 5, 17
IGXP2R, B, 4, 17, 5, 17
6GS1PE, R, 3, 17, 5, 17
IGXP2R, R, 4, 22, 5, 17
6GS1PE, R, 3, 17, 5, 17
