LVMAMI, G, 0, -inf, -inf, inf
EM53QA, B, 1, inf, -inf, inf
KP3JSP, B, 2, -inf, -inf, inf
D7D114, G, 3, inf, -inf, inf
NM911U, B, 4, 3, -inf, inf
D7D114, G, 3, 3, -inf, 3
NM911U, O, 4, 7, -inf, 3
D7D114, G, 3, 3, -inf, 3
NM911U, P, 4, -4, -inf, 3
D7D114, G, 3, -4, -inf, -4
NM911U, R, 4, 7, -inf, -4
D7D114, G, 3, -4, -inf, -4
NM911U, Y, 4, 8, -inf, -4
D7D114, G, 3, -4, -inf, -4
O4CNQU, O, 4, 7, -inf, -4
D7D114, G, 3, -4, -inf, -4
O4CNQU, P, 4, -4, -inf, -4
D7D114, G, 3, -4, -inf, -4
O4CNQU, R, 4, 7, -inf, -4
D7D114, G, 3, -4, -inf, -4
O4CNQU, Y, 4, 8, -inf, -4
D7D114, G, 3, -4, -inf, -4
OS4JN0, O, 4, 7, -inf, -4
D7D114, G, 3, -4, -inf, -4
OS4JN0, P, 4, -4, -inf, -4
D7D114, G, 3, -4, -inf, -4
OS4JN0, R, 4, 7, -inf, -4
D7D114, G, 3, -4, -inf, -4
OS4JN0, Y, 4, 8, -inf, -4
D7D114, G, 3, -4, -inf, -4
PUUAOM, B, 4, 3, -inf, -4
D7D114, G, 3, -4, -inf, -4
PUUAOM, O, 4, 7, -inf, -4
D7D114, G, 3, -4, -inf, -4
PUUAOM, P, 4, -4, -inf, -4
D7D114, G, 3, -4, -inf, -4
PUUAOM, R, 4, 7, -inf, -4
D7D114, G, 3, -4, -inf, -4
PUUAOM, Y, 4, 8, -inf, -4
D7D114, G, 3, -4, -inf, -4
S7OMXL, G, 4, 6, -inf, -4
D7D114, G, 3, -4, -inf, -4
S7OMXL, O, 4, 7, -inf, -4
D7D114, G, 3, -4, -inf, -4
S7OMXL, P, 4, -4, -inf, -4
D7D114, G, 3, -4, -inf, -4
S7OMXL, R, 4, 7, -inf, -4
D7D114, G, 3, -4, -inf, -4
S7OMXL, Y, 4, 8, -inf, -4
D7D114, G, 3, -4, -inf, -4
WPZNJO, O, 4, 7, -inf, -4
D7D114, G, 3, -4, -inf, -4
WPZNJO, P, 4, -4, -inf, -4
D7D114, G, 3, -4, -inf, -4
WPZNJO, R, 4, 7, -inf, -4
D7D114, G, 3, -4, -inf, -4
WPZNJO, Y, 4, 8, -inf, -4
D7D114, G, 3, -4, -inf, -4
KP3JSP, B, 2, -4, -4, inf
D7D114, O, 3, inf, -4, inf
NM911U, B, 4, 8, -4, inf
D7D114, O, 3, 8, -4, 8
NM911U, P, 4, 1, -4, 8
D7D114, O, 3, 1, -4, 1
NM911U, R, 4, 12, -4, 1
D7D114, O, 3, 1, -4, 1
NM911U, Y, 4, 13, -4, 1
D7D114, O, 3, 1, -4, 1
O4CNQU, G, 4, 11, -4, 1
D7D114, O, 3, 1, -4, 1
O4CNQU, P, 4, 1, -4, 1
D7D114, O, 3, 1, -4, 1
O4CNQU, R, 4, 12, -4, 1
D7D114, O, 3, 1, -4, 1
O4CNQU, Y, 4, 13, -4, 1
D7D114, O, 3, 1, -4, 1
OS4JN0, O, 4, 12, -4, 1
D7D114, O, 3, 1, -4, 1
OS4JN0, P, 4, 1, -4, 1
D7D114, O, 3, 1, -4, 1
OS4JN0, R, 4, 12, -4, 1
D7D114, O, 3, 1, -4, 1
OS4JN0, Y, 4, 13, -4, 1
D7D114, O, 3, 1, -4, 1
PUUAOM, B, 4, 8, -4, 1
D7D114, O, 3, 1, -4, 1
PUUAOM, P, 4, 1, -4, 1
D7D114, O, 3, 1, -4, 1
PUUAOM, R, 4, 12, -4, 1
D7D114, O, 3, 1, -4, 1
PUUAOM, Y, 4, 13, -4, 1
D7D114, O, 3, 1, -4, 1
S7OMXL, G, 4, 11, -4, 1
D7D114, O, 3, 1, -4, 1
S7OMXL, O, 4, 12, -4, 1
D7D114, O, 3, 1, -4, 1
S7OMXL, P, 4, 1, -4, 1
D7D114, O, 3, 1, -4, 1
S7OMXL, R, 4, 12, -4, 1
D7D114, O, 3, 1, -4, 1
