HL7RH0, G, 0, -inf, -inf, inf
4TGIVI, B, 1, inf, -inf, inf
93CT8B, B, 2, -inf, -inf, inf
7MVUG1, G, 3, inf, -inf, inf
B302WY, B, 4, -3, -inf, inf
7MVUG1, G, 3, -3, -inf, -3
B302WY, R, 4, -9, -inf, -3
7MVUG1, G, 3, -9, -inf, -9
B302WY, Y, 4, -11, -inf, -9
7MVUG1, G, 3, -11, -inf, -11
D7A6DO, G, 4, -7, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
D7A6DO, R, 4, -9, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
D7A6DO, Y, 4, -11, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
E3B6KU, B, 4, -3, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
E3B6KU, R, 4, -9, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
E3B6KU, Y, 4, -11, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
FBMJRV, B, 4, -3, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
FBMJRV, R, 4, -9, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
FBMJRV, Y, 4, -11, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
GKM35T, R, 4, -9, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
GKM35T, Y, 4, -11, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
IOIZ5S, B, 4, -3, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
IOIZ5S, R, 4, -9, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
IOIZ5S, Y, 4, -11, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
JENPWA, R, 4, -9, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
JENPWA, Y, 4, -11, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
LCX2DK, B, 4, -3, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
LCX2DK, R, 4, -9, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
LCX2DK, Y, 4, -11, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
LX6ZE0, R, 4, -9, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
LX6ZE0, Y, 4, -11, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
NCYMNC, B, 4, -3, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
NCYMNC, R, 4, -9, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
NCYMNC, Y, 4, -11, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
ODUBEG, G, 4, -7, -inf, -11
7MVUG1, G, 3, -11, -inf, -11
ODUBEG, R, 4, -9, -inf, -11
