BO0OV0, G, 0, -inf, -inf, inf
0ICMMK, B, 1, inf, -inf, inf
3EI3PD, B, 2, -inf, -inf, inf
3OBOG6, G, 3, -3, -inf, inf
3EI3PD, B, 2, -3, -3, inf
3OBOG6, O, 3, -5, -3, inf
3EI3PD, B, 2, -3, -3, inf
3OBOG6, P, 3, 2, -3, inf
3EI3PD, B, 2, 2, 2, inf
3OBOG6, R, 3, 5, 2, inf
3EI3PD, B, 2, 5, 5, inf
3OBOG6, Y, 3, 6, 5, inf
3EI3PD, B, 2, 6, 6, inf
A5AZRE, B, 3, 4, 6, inf
3EI3PD, B, 2, 6, 6, inf
A5AZRE, O, 3, -5, 6, inf
3EI3PD, B, 2, 6, 6, inf
A5AZRE, P, 3, 2, 6, inf
3EI3PD, B, 2, 6, 6, inf
A5AZRE, Y, 3, 6, 6, inf
3EI3PD, B, 2, 6, 6, inf
B0JPZW, G, 3, -3, 6, inf
3EI3PD, B, 2, 6, 6, inf
B0JPZW, O, 3, -5, 6, inf
3EI3PD, B, 2, 6, 6, inf
B0JPZW, P, 3, 2, 6, inf
3EI3PD, B, 2, 6, 6, inf
B0JPZW, R, 3, 5, 6, inf
3EI3PD, B, 2, 6, 6, inf
B0JPZW, Y, 3, 6, 6, inf
3EI3PD, B, 2, 6, 6, inf
DH4M4H, G, 3, -3, 6, inf
3EI3PD, B, 2, 6, 6, inf
DH4M4H, O, 3, -5, 6, inf
3EI3PD, B, 2, 6, 6, inf
DH4M4H, P, 3, 2, 6, inf
3EI3PD, B, 2, 6, 6, inf
DH4M4H, R, 3, 5, 6, inf
3EI3PD, B, 2, 6, 6, inf
DH4M4H, Y, 3, 6, 6, inf
3EI3PD, B, 2, 6, 6, inf
DPTQ4B, O, 3, -5, 6, inf
3EI3PD, B, 2, 6, 6, inf
DPTQ4B, P, 3, 2, 6, inf
3EI3PD, B, 2, 6, 6, inf
DPTQ4B, R, 3, 5, 6, inf
3EI3PD, B, 2, 6, 6, inf
DPTQ4B, Y, 3, 6, 6, inf
3EI3PD, B, 2, 6, 6, inf
F19HEQ, G, 3, -3, 6, inf
3EI3PD, B, 2, 6, 6, inf
F19HEQ, O, 3, -5, 6, inf
3EI3PD, B, 2, 6, 6, inf
F19HEQ, P, 3, 2, 6, inf
3EI3PD, B, 2, 6, 6, inf
F19HEQ, R, 3, 5, 6, inf
3EI3PD, B, 2, 6, 6, inf
F19HEQ, Y, 3, 6, 6, inf
3EI3PD, B, 2, 6, 6, inf
H9WYCE, O, 3, -5, 6, inf
3EI3PD, B, 2, 6, 6, inf
H9WYCE, P, 3, 2, 6, inf
3EI3PD, B, 2, 6, 6, inf
H9WYCE, R, 3, 5, 6, inf
3EI3PD, B, 2, 6, 6, inf
H9WYCE, Y, 3, 6, 6, inf
3EI3PD, B, 2, 6, 6, inf
HMIZVH, B, 3, 4, 6, inf
3EI3PD, B, 2, 6, 6, inf
HMIZVH, G, 3, -3, 6, inf
