LTLSGP, G, 0, -inf, -inf, inf
4DCIPK, B, 1, inf, -inf, inf
8QCUXZ, B, 2, -inf, -inf, inf
817L9G, G, 3, inf, -inf, inf
9YUTXH, G, 4, 7, -inf, inf
817L9G, G, 3, 7, -inf, 7
9YUTXH, P, 4, 13, -inf, 7
817L9G, G, 3, 7, -inf, 7
9YUTXH, Y, 4, 6, -inf, 7
817L9G, G, 3, 6, -inf, 6
AAG474, B, 4, 7, -inf, 6
817L9G, G, 3, 6, -inf, 6
AAG474, P, 4, 13, -inf, 6
817L9G, G, 3, 6, -inf, 6
AAG474, R, 4, 9, -inf, 6
817L9G, G, 3, 6, -inf, 6
AAG474, Y, 4, 6, -inf, 6
817L9G, G, 3, 6, -inf, 6
CF1Z5O, G, 4, 7, -inf, 6
817L9G, G, 3, 6, -inf, 6
CF1Z5O, P, 4, 13, -inf, 6
817L9G, G, 3, 6, -inf, 6
CF1Z5O, R, 4, 9, -inf, 6
817L9G, G, 3, 6, -inf, 6
CF1Z5O, Y, 4, 6, -inf, 6
817L9G, G, 3, 6, -inf, 6
CO40SE, G, 4, 7, -inf, 6
817L9G, G, 3, 6, -inf, 6
CO40SE, P, 4, 13, -inf, 6
817L9G, G, 3, 6, -inf, 6
CO40SE, R, 4, 9, -inf, 6
817L9G, G, 3, 6, -inf, 6
CO40SE, Y, 4, 6, -inf, 6
817L9G, G, 3, 6, -inf, 6
EF9RLK, P, 4, 13, -inf, 6
817L9G, G, 3, 6, -inf, 6
EF9RLK, R, 4, 9, -inf, 6
817L9G, G, 3, 6, -inf, 6
EF9RLK, Y, 4, 6, -inf, 6
817L9G, G, 3, 6, -inf, 6
EY09SW, B, 4, 7, -inf, 6
817L9G, G, 3, 6, -inf, 6
EY09SW, P, 4, 13, -inf, 6
817L9G, G, 3, 6, -inf, 6
EY09SW, R, 4, 9, -inf, 6
817L9G, G, 3, 6, -inf, 6
EY09SW, Y, 4, 6, -inf, 6
817L9G, G, 3, 6, -inf, 6
FOO33M, G, 4, 7, -inf, 6
817L9G, G, 3, 6, -inf, 6
FOO33M, P, 4, 13, -inf, 6
817L9G, G, 3, 6, -inf, 6
FOO33M, R, 4, 9, -inf, 6
817L9G, G, 3, 6, -inf, 6
FOO33M, Y, 4, 6, -inf, 6
817L9G, G, 3, 6, -inf, 6
L4HM6F, G, 4, 7, -inf, 6
817L9G, G, 3, 6, -inf, 6
L4HM6F, P, 4, 13, -inf, 6
817L9G, G, 3, 6, -inf, 6
L4HM6F, R, 4, 9, -inf, 6
817L9G, G, 3, 6, -inf, 6
L4HM6F, Y, 4, 6, -inf, 6
817L9G, G, 3, 6, -inf, 6
NKKV2U, P, 4, 13, -inf, 6
817L9G, G, 3, 6, -inf, 6
NKKV2U, R, 4, 9, -inf, 6
817L9G, G, 3, 6, -inf, 6
NKKV2U, Y, 4, 6, -inf, 6
817L9G, G, 3, 6, -inf, 6
NTI6GR, B, 4, 7, -inf, 6
817L9G, G, 3, 6, -inf, 6
NTI6GR, G, 4, 7, -inf, 6
817L9G, G, 3, 6, -inf, 6
NTI6GR, P, 4, 13, -inf, 6
817L9G, G, 3, 6, -inf, 6
NTI6GR, Y, 4, 6, -inf, 6
817L9G, G, 3, 6, -inf, 6
SH4X3W, P, 4, 13, -inf, 6
817L9G, G, 3, 6, -inf, 6
SH4X3W, R, 4, 9, -inf, 6
817L9G, G, 3, 6, -inf, 6
SH4X3W, Y, 4, 6, -inf, 6
817L9G, G, 3, 6, -inf, 6
UQ5Z9S, B, 4, 7, -inf, 6
817L9G, G, 3, 6, -inf, 6
UQ5Z9S, P, 4, 13, -inf, 6
817L9G, G, 3, 6, -inf, 6
UQ5Z9S, R, 4, 9, -inf, 6
817L9G, G, 3, 6, -inf, 6
UQ5Z9S, Y, 4, 6, -inf, 6
817L9G, G, 3, 6, -inf, 6
USBR8V, P, 4, 13, -inf, 6
817L9G, G, 3, 6, -inf, 6
USBR8V, R, 4, 9, -inf, 6
817L9G, G, 3, 6, -inf, 6
USBR8V, Y, 4, 6, -inf, 6
817L9G, G, 3, 6, -inf, 6
WWGHKN, G, 4, 7, -inf, 6
817L9G, G, 3, 6, -inf, 6
WWGHKN, P, 4, 13, -inf, 6
817L9G, G, 3, 6, -inf, 6
WWGHKN, R, 4, 9, -inf, 6
817L9G, G, 3, 6, -inf, 6
WWGHKN, Y, 4, 6, -inf, 6
817L9G, G, 3, 6, -inf, 6
ZMZURH, B, 4, 7, -inf, 6
817L9G, G, 3, 6, -inf, 6
ZMZURH, P, 4, 13, -inf, 6
817L9G, G, 3, 6, -inf, 6
ZMZURH, R, 4, 9, -inf, 6
817L9G, G, 3, 6, -inf, 6
ZMZURH, Y, 4, 6, -inf, 6
817L9G, G, 3, 6, -inf, 6
8QCUXZ, B, 2, 6, 6, inf
817L9G, P, 3, inf, 6, inf
9YUTXH, G, 4, -3, 6, inf
817L9G, P, 3, -3, 6, inf
8QCUXZ, B, 2, 6, 6, inf
817L9G, R, 3, inf, 6, inf
9YUTXH, G, 4, 10, 6, inf
817L9G, R, 3, 10, 6, 10
9YUTXH, P, 4, 16, 6, 10
817L9G, R, 3, 10, 6, 10
9YUTXH, Y, 4, 9, 6, 10
