6CQPFB, G, 0, -inf, -inf, inf
2ZRX9U, B, 1, inf, -inf, inf
5AYWAI, G, 2, -inf, -inf, inf
86JV6B, B, 3, inf, -inf, inf
CVLHGR, G, 4, -5, -inf, inf
86JV6B, B, 3, -5, -inf, -5
DDYDZ4, G, 4, -5, -inf, -5
86JV6B, B, 3, -5, -inf, -5
DDYDZ4, R, 4, -6, -inf, -5
86JV6B, B, 3, -6, -inf, -6
ELP9SJ, G, 4, -5, -inf, -6
86JV6B, B, 3, -6, -inf, -6
ELP9SJ, R, 4, -6, -inf, -6
86JV6B, B, 3, -6, -inf, -6
IXY4HG, B, 4, -5, -inf, -6
86JV6B, B, 3, -6, -inf, -6
IXY4HG, R, 4, -6, -inf, -6
86JV6B, B, 3, -6, -inf, -6
JXYE8L, G, 4, -5, -inf, -6
86JV6B, B, 3, -6, -inf, -6
JXYE8L, R, 4, -6, -inf, -6
86JV6B, B, 3, -6, -inf, -6
R6J76S, G, 4, -5, -inf, -6
86JV6B, B, 3, -6, -inf, -6
R6J76S, R, 4, -6, -inf, -6
86JV6B, B, 3, -6, -inf, -6
RDPCLS, G, 4, -5, -inf, -6
86JV6B, B, 3, -6, -inf, -6
RDPCLS, R, 4, -6, -inf, -6
86JV6B, B, 3, -6, -inf, -6
RUNAZU, B, 4, -5, -inf, -6
86JV6B, B, 3, -6, -inf, -6
RZ95L2, B, 4, -5, -inf, -6
86JV6B, B, 3, -6, -inf, -6
RZ95L2, G, 4, -5, -inf, -6
86JV6B, B, 3, -6, -inf, -6
5AYWAI, G, 2, -6, -6, inf
86JV6B, R, 3, inf, -6, inf
CVLHGR, G, 4, -19, -6, inf
86JV6B, R, 3, -19, -6, inf
5AYWAI, G, 2, -6, -6, inf
CVLHGR, G, 3, inf, -6, inf
86JV6B, B, 4, -16, -6, inf
CVLHGR, G, 3, -16, -6, inf
5AYWAI, G, 2, -6, -6, inf
DDYDZ4, G, 3, inf, -6, inf
86JV6B, B, 4, -16, -6, inf
DDYDZ4, G, 3, -16, -6, inf
5AYWAI, G, 2, -6, -6, inf
DDYDZ4, R, 3, inf, -6, inf
86JV6B, B, 4, -19, -6, inf
DDYDZ4, R, 3, -19, -6, inf
5AYWAI, G, 2, -6, -6, inf
IXY4HG, B, 3, inf, -6, inf
43U9M0, G, 4, -5, -6, inf
IXY4HG, B, 3, -5, -6, -5
43U9M0, R, 4, -6, -6, -5
IXY4HG, B, 3, -6, -6, -5
5AYWAI, G, 2, -6, -6, inf
IXY4HG, R, 3, inf, -6, inf
43U9M0, B, 4, -19, -6, inf
IXY4HG, R, 3, -19, -6, inf
5AYWAI, G, 2, -6, -6, inf
JXYE8L, G, 3, inf, -6, inf
7WSMSQ, B, 4, -16, -6, inf
JXYE8L, G, 3, -16, -6, inf
5AYWAI, G, 2, -6, -6, inf
JXYE8L, R, 3, inf, -6, inf
7WSMSQ, B, 4, -19, -6, inf
JXYE8L, R, 3, -19, -6, inf
5AYWAI, G, 2, -6, -6, inf
R6J76S, G, 3, inf, -6, inf
86JV6B, B, 4, -16, -6, inf
R6J76S, G, 3, -16, -6, inf
5AYWAI, G, 2, -6, -6, inf
R6J76S, R, 3, inf, -6, inf
86JV6B, B, 4, -19, -6, inf
R6J76S, R, 3, -19, -6, inf
5AYWAI, G, 2, -6, -6, inf
RUNAZU, B, 3, inf, -6, inf
86JV6B, B, 4, -5, -6, inf
RUNAZU, B, 3, -5, -6, -5
86JV6B, R, 4, -6, -6, -5
RUNAZU, B, 3, -6, -6, -5
5AYWAI, G, 2, -6, -6, inf
RZ95L2, B, 3, inf, -6, inf
7WSMSQ, G, 4, -5, -6, inf
RZ95L2, B, 3, -5, -6, -5
7WSMSQ, R, 4, -6, -6, -5
RZ95L2, B, 3, -6, -6, -5
5AYWAI, G, 2, -6, -6, inf
RZ95L2, G, 3, inf, -6, inf
7WSMSQ, B, 4, -16, -6, inf
RZ95L2, G, 3, -16, -6, inf
5AYWAI, G, 2, -6, -6, inf
2ZRX9U, B, 1, -6, -inf, -6
5AYWAI, R, 2, -inf, -inf, -6
86JV6B, B, 3, inf, -inf, -6
CVLHGR, G, 4, -6, -inf, -6
86JV6B, B, 3, -6, -inf, -6
DDYDZ4, G, 4, -6, -inf, -6
86JV6B, B, 3, -6, -inf, -6
DDYDZ4, R, 4, -7, -inf, -6
86JV6B, B, 3, -7, -inf, -7
ELP9SJ, G, 4, -6, -inf, -7
86JV6B, B, 3, -7, -inf, -7
ELP9SJ, R, 4, -7, -inf, -7
86JV6B, B, 3, -7, -inf, -7
IXY4HG, B, 4, -6, -inf, -7
86JV6B, B, 3, -7, -inf, -7
IXY4HG, R, 4, -7, -inf, -7
86JV6B, B, 3, -7, -inf, -7
JXYE8L, G, 4, -6, -inf, -7
86JV6B, B, 3, -7, -inf, -7
JXYE8L, R, 4, -7, -inf, -7
86JV6B, B, 3, -7, -inf, -7
R6J76S, G, 4, -6, -inf, -7
86JV6B, B, 3, -7, -inf, -7
R6J76S, R, 4, -7, -inf, -7
86JV6B, B, 3, -7, -inf, -7
RDPCLS, G, 4, -6, -inf, -7
86JV6B, B, 3, -7, -inf, -7
RDPCLS, R, 4, -7, -inf, -7
86JV6B, B, 3, -7, -inf, -7
RUNAZU, B, 4, -6, -inf, -7
86JV6B, B, 3, -7, -inf, -7
RUNAZU, G, 4, -6, -inf, -7
86JV6B, B, 3, -7, -inf, -7
RZ95L2, B, 4, -6, -inf, -7
86JV6B, B, 3, -7, -inf, -7
RZ95L2, G, 4, -6, -inf, -7
86JV6B, B, 3, -7, -inf, -7
5AYWAI, R, 2, -7, -7, -6
86JV6B, R, 3, inf, -7, -6
CVLHGR, G, 4, -20, -7, -6
86JV6B, R, 3, -20, -7, -6
5AYWAI, R, 2, -7, -7, -6
CVLHGR, G, 3, inf, -7, -6
86JV6B, B, 4, -17, -7, -6
CVLHGR, G, 3, -17, -7, -6
5AYWAI, R, 2, -7, -7, -6
DDYDZ4, G, 3, inf, -7, -6
86JV6B, B, 4, -17, -7, -6
DDYDZ4, G, 3, -17, -7, -6
5AYWAI, R, 2, -7, -7, -6
DDYDZ4, R, 3, inf, -7, -6
86JV6B, B, 4, -20, -7, -6
DDYDZ4, R, 3, -20, -7, -6
5AYWAI, R, 2, -7, -7, -6
IXY4HG, B, 3, inf, -7, -6
43U9M0, G, 4, -6, -7, -6
IXY4HG, B, 3, -6, -7, -6
43U9M0, R, 4, -7, -7, -6
IXY4HG, B, 3, -7, -7, -6
5AYWAI, R, 2, -7, -7, -6
IXY4HG, R, 3, inf, -7, -6
43U9M0, B, 4, -20, -7, -6
IXY4HG, R, 3, -20, -7, -6
5AYWAI, R, 2, -7, -7, -6
JXYE8L, G, 3, inf, -7, -6
7WSMSQ, B, 4, -17, -7, -6
JXYE8L, G, 3, -17, -7, -6
5AYWAI, R, 2, -7, -7, -6
JXYE8L, R, 3, inf, -7, -6
7WSMSQ, B, 4, -20, -7, -6
JXYE8L, R, 3, -20, -7, -6
5AYWAI, R, 2, -7, -7, -6
R6J76S, G, 3, inf, -7, -6
86JV6B, B, 4, -17, -7, -6
R6J76S, G, 3, -17, -7, -6
5AYWAI, R, 2, -7, -7, -6
R6J76S, R, 3, inf, -7, -6
86JV6B, B, 4, -20, -7, -6
R6J76S, R, 3, -20, -7, -6
5AYWAI, R, 2, -7, -7, -6
RUNAZU, B, 3, inf, -7, -6
86JV6B, B, 4, -6, -7, -6
RUNAZU, B, 3, -6, -7, -6
86JV6B, R, 4, -7, -7, -6
RUNAZU, B, 3, -7, -7, -6
5AYWAI, R, 2, -7, -7, -6
RUNAZU, G, 3, inf, -7, -6
86JV6B, B, 4, -17, -7, -6
RUNAZU, G, 3, -17, -7, -6
5AYWAI, R, 2, -7, -7, -6
RZ95L2, B, 3, inf, -7, -6
7WSMSQ, G, 4, -6, -7, -6
RZ95L2, B, 3, -6, -7, -6
7WSMSQ, R, 4, -7, -7, -6
RZ95L2, B, 3, -7, -7, -6
5AYWAI, R, 2, -7, -7, -6
RZ95L2, G, 3, inf, -7, -6
7WSMSQ, B, 4, -17, -7, -6
RZ95L2, G, 3, -17, -7, -6
5AYWAI, R, 2, -7, -7, -6
2ZRX9U, B, 1, -7, -inf, -7
86JV6B, B, 2, -inf, -inf, -7
5AYWAI, G, 3, inf, -inf, -7
CVLHGR, G, 4, -16, -inf, -7
5AYWAI, G, 3, -16, -inf, -16
DDYDZ4, G, 4, -16, -inf, -16
5AYWAI, G, 3, -16, -inf, -16
DDYDZ4, R, 4, -17, -inf, -16
5AYWAI, G, 3, -17, -inf, -17
ELP9SJ, G, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
ELP9SJ, R, 4, -17, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
IXY4HG, B, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
IXY4HG, R, 4, -17, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
JXYE8L, G, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
JXYE8L, R, 4, -17, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
R6J76S, G, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
R6J76S, R, 4, -17, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
RDPCLS, G, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
RDPCLS, R, 4, -17, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
RUNAZU, B, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
RZ95L2, B, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
RZ95L2, G, 4, -16, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
86JV6B, B, 2, -17, -17, -7
5AYWAI, R, 3, inf, -17, -7
CVLHGR, G, 4, -19, -17, -7
5AYWAI, R, 3, -19, -17, -7
86JV6B, B, 2, -17, -17, -7
CVLHGR, G, 3, inf, -17, -7
5AYWAI, G, 4, -16, -17, -7
CVLHGR, G, 3, -16, -17, -16
5AYWAI, R, 4, -17, -17, -16
CVLHGR, G, 3, -17, -17, -16
86JV6B, B, 2, -17, -17, -7
DDYDZ4, G, 3, inf, -17, -7
5AYWAI, G, 4, -16, -17, -7
DDYDZ4, G, 3, -16, -17, -16
5AYWAI, R, 4, -17, -17, -16
DDYDZ4, G, 3, -17, -17, -16
86JV6B, B, 2, -17, -17, -7
DDYDZ4, R, 3, inf, -17, -7
5AYWAI, G, 4, -19, -17, -7
DDYDZ4, R, 3, -19, -17, -7
86JV6B, B, 2, -17, -17, -7
ELP9SJ, G, 3, inf, -17, -7
2CEW7D, B, 4, -16, -17, -7
ELP9SJ, G, 3, -16, -17, -16
2CEW7D, R, 4, -17, -17, -16
ELP9SJ, G, 3, -17, -17, -16
86JV6B, B, 2, -17, -17, -7
ELP9SJ, R, 3, inf, -17, -7
2CEW7D, B, 4, -19, -17, -7
ELP9SJ, R, 3, -19, -17, -7
86JV6B, B, 2, -17, -17, -7
IXY4HG, B, 3, inf, -17, -7
43U9M0, G, 4, -5, -17, -7
IXY4HG, B, 3, -5, -17, -7
43U9M0, R, 4, -6, -17, -7
IXY4HG, B, 3, -6, -17, -7
5AYWAI, G, 4, -5, -17, -7
IXY4HG, B, 3, -6, -17, -7
5AYWAI, R, 4, -6, -17, -7
IXY4HG, B, 3, -6, -17, -7
CVLHGR, G, 4, -5, -17, -7
IXY4HG, B, 3, -6, -17, -7
DDYDZ4, G, 4, -5, -17, -7
IXY4HG, B, 3, -6, -17, -7
DDYDZ4, R, 4, -6, -17, -7
IXY4HG, B, 3, -6, -17, -7
ELP9SJ, G, 4, -5, -17, -7
IXY4HG, B, 3, -6, -17, -7
ELP9SJ, R, 4, -6, -17, -7
IXY4HG, B, 3, -6, -17, -7
JXYE8L, G, 4, -5, -17, -7
IXY4HG, B, 3, -6, -17, -7
JXYE8L, R, 4, -6, -17, -7
IXY4HG, B, 3, -6, -17, -7
R6J76S, G, 4, -5, -17, -7
IXY4HG, B, 3, -6, -17, -7
R6J76S, R, 4, -6, -17, -7
IXY4HG, B, 3, -6, -17, -7
RDPCLS, G, 4, -5, -17, -7
IXY4HG, B, 3, -6, -17, -7
RDPCLS, R, 4, -6, -17, -7
IXY4HG, B, 3, -6, -17, -7
RUNAZU, B, 4, -5, -17, -7
IXY4HG, B, 3, -6, -17, -7
RUNAZU, G, 4, -5, -17, -7
IXY4HG, B, 3, -6, -17, -7
RZ95L2, B, 4, -5, -17, -7
IXY4HG, B, 3, -6, -17, -7
RZ95L2, G, 4, -5, -17, -7
IXY4HG, B, 3, -6, -17, -7
86JV6B, B, 2, -6, -17, -7
2ZRX9U, B, 1, -7, -inf, -7
86JV6B, R, 2, -inf, -inf, -7
5AYWAI, G, 3, inf, -inf, -7
CVLHGR, G, 4, -17, -inf, -7
5AYWAI, G, 3, -17, -inf, -17
DDYDZ4, G, 4, -17, -inf, -17
5AYWAI, G, 3, -17, -inf, -17
DDYDZ4, R, 4, -18, -inf, -17
5AYWAI, G, 3, -18, -inf, -18
ELP9SJ, B, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
ELP9SJ, G, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
IXY4HG, B, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
IXY4HG, R, 4, -18, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
JXYE8L, G, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
R6J76S, G, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
R6J76S, R, 4, -18, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
RDPCLS, B, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
RDPCLS, G, 4, -17, -inf, -18
5AYWAI, G, 3, -18, -inf, -18
